I'll help you implement the necessary changes to fix the TypeError when supplying boolean X to HuberRegressor fit. Let's start by exploring the repository structure and understanding the problem.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(huber|linear_model)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sklearn/linear_model/setup.py
/testbed/sklearn/linear_model/ridge.py
/testbed/sklearn/linear_model/__init__.py
/testbed/sklearn/linear_model/tests/test_perceptron.py
/testbed/sklearn/linear_model/tests/test_logistic.py
/testbed/sklearn/linear_model/tests/test_omp.py
/testbed/sklearn/linear_model/tests/__init__.py
/testbed/sklearn/linear_model/tests/test_theil_sen.py
/testbed/sklearn/linear_model/tests/test_ransac.py
/testbed/sklearn/linear_model/tests/test_passive_aggressive.py
/testbed/sklearn/linear_model/tests/test_sgd.py
/testbed/sklearn/linear_model/tests/test_ridge.py
/testbed/sklearn/linear_model/tests/test_sag.py
/testbed/sklearn/linear_model/tests/test_sparse_coordinate_descent.py
/testbed/sklearn/linear_model/tests/test_bayes.py
/testbed/sklearn/linear_model/tests/test_coordinate_descent.py
/testbed/sklearn/linear_model/tests/test_huber.py
/testbed/sklearn/linear_model/tests/test_least_angle.py
/testbed/sklearn/linear_model/tests/test_base.py
/testbed/sklearn/linear_model/base.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "huber.py"</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sklearn/linear_model/huber.py</function_results>

Let's examine the HuberRegressor implementation:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/linear_model</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sklearn/linear_model, excluding hidden items and node_modules:
8.7M	/testbed/sklearn/linear_model
    57	    n_samples = np.sum(sample_weight)
    58	
    59	    # Calculate the values where |y - X'w -c / sigma| > epsilon
    60	    # The values above this threshold are outliers.
    61	    linear_loss = y - safe_sparse_dot(X, w)
    62	    if fit_intercept:
    63	        linear_loss -= intercept
    64	    abs_linear_loss = np.abs(linear_loss)
    65	    outliers_mask = abs_linear_loss > epsilon * sigma
    66	
    67	    # Calculate the linear loss due to the outliers.
    68	    # This is equal to (2 * M * |y - X'w -c / sigma| - M**2) * sigma
    69	    outliers = abs_linear_loss[outliers_mask]
    70	    num_outliers = np.count_nonzero(outliers_mask)
    71	    n_non_outliers = X.shape[0] - num_outliers
    72	
    73	    # n_sq_outliers includes the weight give to the outliers while
    74	    # num_outliers is just the number of outliers.
    75	    outliers_sw = sample_weight[outliers_mask]
    76	    n_sw_outliers = np.sum(outliers_sw)
    77	    outlier_loss = (2. * epsilon * np.sum(outliers_sw * outliers) -
    78	                    sigma * n_sw_outliers * epsilon ** 2)
    79	
    80	    # Calculate the quadratic loss due to the non-outliers.-
    81	    # This is equal to |(y - X'w - c)**2 / sigma**2| * sigma
    82	    non_outliers = linear_loss[~outliers_mask]
    83	    weighted_non_outliers = sample_weight[~outliers_mask] * non_outliers
    84	    weighted_loss = np.dot(weighted_non_outliers.T, non_outliers)
    85	    squared_loss = weighted_loss / sigma
    86	
    87	    if fit_intercept:
    88	        grad = np.zeros(n_features + 2)
    89	    else:
    90	        grad = np.zeros(n_features + 1)
    91	
    92	    # Gradient due to the squared loss.
    93	    X_non_outliers = -axis0_safe_slice(X, ~outliers_mask, n_non_outliers)
    94	    grad[:n_features] = (
    95	        2. / sigma * safe_sparse_dot(weighted_non_outliers, X_non_outliers))
    96	
    97	    # Gradient due to the linear loss.
    98	    signed_outliers = np.ones_like(outliers)
    99	    signed_outliers_mask = linear_loss[outliers_mask] < 0
   100	    signed_outliers[signed_outliers_mask] = -1.0
   101	    X_outliers = axis0_safe_slice(X, outliers_mask, num_outliers)
   102	    sw_outliers = sample_weight[outliers_mask] * signed_outliers
   103	    grad[:n_features] -= 2. * epsilon * (
   104	        safe_sparse_dot(sw_outliers, X_outliers))
   105	
   106	    # Gradient due to the penalty.
   107	    grad[:n_features] += alpha * 2. * w
   108	
   109	    # Gradient due to sigma.
   110	    grad[-1] = n_samples
   111	    grad[-1] -= n_sw_outliers * epsilon ** 2
   112	    grad[-1] -= squared_loss / sigma
   113	
   114	    # Gradient due to the intercept.
   115	    if fit_intercept:
   116	        grad[-2] = -2. * np.sum(weighted_non_outliers) / sigma
   117	        grad[-2] -= 2. * epsilon * np.sum(sw_outliers)
   118	
   119	    loss = n_samples * sigma + squared_loss + outlier_loss
   120	    loss += alpha * np.dot(w, w)
   121	    return loss, grad
   122	
   123	
   124	class HuberRegressor(LinearModel, RegressorMixin, BaseEstimator):
   125	    """Linear regression model that is robust to outliers.
   126	
   127	    The Huber Regressor optimizes the squared loss for the samples where
   128	    ``|(y - X'w) / sigma| < epsilon`` and the absolute loss for the samples
   129	    where ``|(y - X'w) / sigma| > epsilon``, where w and sigma are parameters
   130	    to be optimized. The parameter sigma makes sure that if y is scaled up
   131	    or down by a certain factor, one does not need to rescale epsilon to
   132	    achieve the same robustness. Note that this does not take into account
   133	    the fact that the different features of X may be of different scales.
   134	
   135	    This makes sure that the loss function is not heavily influenced by the
   136	    outliers while not completely ignoring their effect.
   137	
   138	    Read more in the :ref:`User Guide <huber_regression>`
   139	
   140	    .. versionadded:: 0.18
   141	
   142	    Parameters
   143	    ----------
   144	    epsilon : float, greater than 1.0, default 1.35
   145	        The parameter epsilon controls the number of samples that should be
   146	        classified as outliers. The smaller the epsilon, the more robust it is
   147	        to outliers.
   148	
   149	    max_iter : int, default 100
   150	        Maximum number of iterations that scipy.optimize.fmin_l_bfgs_b
   151	        should run for.
   152	
   153	    alpha : float, default 0.0001
   154	        Regularization parameter.
   155	
   156	    warm_start : bool, default False
   157	        This is useful if the stored attributes of a previously used model
   158	        has to be reused. If set to False, then the coefficients will
   159	        be rewritten for every call to fit.
   160	        See :term:`the Glossary <warm_start>`.
   161	
   162	    fit_intercept : bool, default True
   163	        Whether or not to fit the intercept. This can be set to False
   164	        if the data is already centered around the origin.
   165	
   166	    tol : float, default 1e-5
   167	        The iteration will stop when
   168	        ``max{|proj g_i | i = 1, ..., n}`` <= ``tol``
   169	        where pg_i is the i-th component of the projected gradient.
   170	
   171	    Attributes
   172	    ----------
   173	    coef_ : array, shape (n_features,)
   174	        Features got by optimizing the Huber loss.
   175	
   176	    intercept_ : float
   177	        Bias.
   178	
   179	    scale_ : float
   180	        The value by which ``|y - X'w - c|`` is scaled down.
   181	
   182	    n_iter_ : int
   183	        Number of iterations that fmin_l_bfgs_b has run for.
   184	
   185	        .. versionchanged:: 0.20
   186	
   187	            In SciPy <= 1.0.0 the number of lbfgs iterations may exceed
   188	            ``max_iter``. ``n_iter_`` will now report at most ``max_iter``.
   189	
   190	    outliers_ : array, shape (n_samples,)
   191	        A boolean mask which is set to True where the samples are identified
   192	        as outliers.
   193	
   194	    Examples
   195	    --------
   196	    >>> import numpy as np
   197	    >>> from sklearn.linear_model import HuberRegressor, LinearRegression
   198	    >>> from sklearn.datasets import make_regression
   199	    >>> rng = np.random.RandomState(0)
   200	    >>> X, y, coef = make_regression(
   201	    ...     n_samples=200, n_features=2, noise=4.0, coef=True, random_state=0)
   202	    >>> X[:4] = rng.uniform(10, 20, (4, 2))
   203	    >>> y[:4] = rng.uniform(10, 20, 4)
   204	    >>> huber = HuberRegressor().fit(X, y)
   205	    >>> huber.score(X, y) # doctest: +ELLIPSIS
   206	    -7.284608623514573
   207	    >>> huber.predict(X[:1,])
   208	    array([806.7200...])
   209	    >>> linear = LinearRegression().fit(X, y)
   210	    >>> print("True coefficients:", coef)
   211	    True coefficients: [20.4923...  34.1698...]
   212	    >>> print("Huber coefficients:", huber.coef_)
   213	    Huber coefficients: [17.7906... 31.0106...]
   214	    >>> print("Linear Regression coefficients:", linear.coef_)
   215	    Linear Regression coefficients: [-1.9221...  7.0226...]
   216	
   217	    References
   218	    ----------
   219	    .. [1] Peter J. Huber, Elvezio M. Ronchetti, Robust Statistics
   220	           Concomitant scale estimates, pg 172
   221	    .. [2] Art B. Owen (2006), A robust hybrid of lasso and ridge regression.
   222	           https://statweb.stanford.edu/~owen/reports/hhu.pdf
   223	    """
   224	
   225	    def __init__(self, epsilon=1.35, max_iter=100, alpha=0.0001,
   226	                 warm_start=False, fit_intercept=True, tol=1e-05):
   227	        self.epsilon = epsilon
   228	        self.max_iter = max_iter
   229	        self.alpha = alpha
   230	        self.warm_start = warm_start
   231	        self.fit_intercept = fit_intercept
   232	        self.tol = tol
   233	
   234	    def fit(self, X, y, sample_weight=None):
   235	        """Fit the model according to the given training data.
   236	
   237	        Parameters
   238	        ----------
   239	        X : array-like, shape (n_samples, n_features)
   240	            Training vector, where n_samples in the number of samples and
   241	            n_features is the number of features.
   242	
   243	        y : array-like, shape (n_samples,)
   244	            Target vector relative to X.
   245	
   246	        sample_weight : array-like, shape (n_samples,)
   247	            Weight given to each sample.
   248	
   249	        Returns
   250	        -------
   251	        self : object
   252	        """
   253	        X, y = check_X_y(
   254	            X, y, copy=False, accept_sparse=['csr'], y_numeric=True)
   255	        if sample_weight is not None:
   256	            sample_weight = np.array(sample_weight)
   257	            check_consistent_length(y, sample_weight)
   258	        else:
   259	            sample_weight = np.ones_like(y)
   260	
   261	        if self.epsilon < 1.0:
   262	            raise ValueError(
   263	                "epsilon should be greater than or equal to 1.0, got %f"
   264	                % self.epsilon)
   265	
   266	        if self.warm_start and hasattr(self, 'coef_'):
   267	            parameters = np.concatenate(
   268	                (self.coef_, [self.intercept_, self.scale_]))
   269	        else:
   270	            if self.fit_intercept:
   271	                parameters = np.zeros(X.shape[1] + 2)
   272	            else:
   273	                parameters = np.zeros(X.shape[1] + 1)
   274	            # Make sure to initialize the scale parameter to a strictly
   275	            # positive value:
   276	            parameters[-1] = 1
   277	
   278	        # Sigma or the scale factor should be non-negative.
   279	        # Setting it to be zero might cause undefined bounds hence we set it
   280	        # to a value close to zero.
   281	        bounds = np.tile([-np.inf, np.inf], (parameters.shape[0], 1))
   282	        bounds[-1][0] = np.finfo(np.float64).eps * 10
   283	
   284	        parameters, f, dict_ = optimize.fmin_l_bfgs_b(
   285	            _huber_loss_and_gradient, parameters,
   286	            args=(X, y, self.epsilon, self.alpha, sample_weight),
   287	            maxiter=self.max_iter, pgtol=self.tol, bounds=bounds,
   288	            iprint=0)
   289	        if dict_['warnflag'] == 2:
   290	            raise ValueError("HuberRegressor convergence failed:"
   291	                             " l-BFGS-b solver terminated with %s"
   292	                             % dict_['task'].decode('ascii'))
   293	        # In scipy <= 1.0.0, nit may exceed maxiter.
   294	        # See https://github.com/scipy/scipy/issues/7854.
   295	        self.n_iter_ = min(dict_['nit'], self.max_iter)
   296	        self.scale_ = parameters[-1]
   297	        if self.fit_intercept:
   298	            self.intercept_ = parameters[-2]
   299	        else:
   300	            self.intercept_ = 0.0
   301	        self.coef_ = parameters[:X.shape[1]]
   302	
   303	        residual = np.abs(
   304	            y - safe_sparse_dot(X, self.coef_) - self.intercept_)
   305	        self.outliers_ = residual > self.scale_ * self.epsilon
   306	        return self
   307	</function_results>

Now let's look at the error more closely. The error occurs in line 93 of the `_huber_loss_and_gradient` function:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/linear_model/huber.py</antml:parameter>
<antml:parameter name="view_range">[90, 100]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/linear_model/huber.py with line numbers (which has a total of 307 lines) with view_range=[90, 100]:
    90	        grad = np.zeros(n_features + 1)
    91	
    92	    # Gradient due to the squared loss.
    93	    X_non_outliers = -axis0_safe_slice(X, ~outliers_mask, n_non_outliers)
    94	    grad[:n_features] = (
    95	        2. / sigma * safe_sparse_dot(weighted_non_outliers, X_non_outliers))
    96	
    97	    # Gradient due to the linear loss.
    98	    signed_outliers = np.ones_like(outliers)
    99	    signed_outliers_mask = linear_loss[outliers_mask] < 0
   100	    signed_outliers[signed_outliers_mask] = -1.0
</function_results>

The issue is that when `X` is boolean, the negation operator `-` is applied to it in line 93, which is not supported for boolean arrays in NumPy. Let's first create a reproduction script to confirm the issue:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/reproduce_issue.py</antml:parameter>
<antml:parameter name="file_text">import numpy as np
from sklearn.datasets import make_regression
from sklearn.linear_model import HuberRegressor

# Random data
X, y, coef = make_regression(n_samples=200, n_features=2, noise=4.0, coef=True, random_state=0)
X_bool = X > 0
X_bool_as_float = np.asarray(X_bool, dtype=float)

print("X dtype:", X.dtype)
print("X_bool dtype:", X_bool.dtype)
print("X_bool_as_float dtype:", X_bool_as_float.dtype)

# Works
print("\nTesting with float X...")
huber = HuberRegressor().fit(X, y)
print("Success with float X")

# Also works
print("\nTesting with boolean X converted to float...")
huber = HuberRegressor().fit(X_bool_as_float, y)
print("Success with boolean X converted to float")

# Fails (!)
print("\nTesting with boolean X...")
try:
    huber = HuberRegressor().fit(X_bool, y)
    print("Success with boolean X")
except Exception as e:
    print(f"Error with boolean X: {type(e).__name__}: {e}")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/reproduce_issue.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python reproduce_issue.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>X dtype: float64
X_bool dtype: bool
X_bool_as_float dtype: float64

Testing with float X...
Success with float X

Testing with boolean X converted to float...
Success with boolean X converted to float

Testing with boolean X...
Error with boolean X: TypeError: The numpy boolean negative, the `-` operator, is not supported, use the `~` operator or the logical_not function instead.</function_results>

Great! I've reproduced the issue. Now let's look at the `axis0_safe_slice` function to understand what it does:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -name "*.py" -exec grep -l "def axis0_safe_slice" {} \;</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sklearn/utils/__init__.py</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/utils/__init__.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/utils/__init__.py with line numbers:
     1	"""
     2	The :mod:`sklearn.utils` module includes various utilities.
     3	"""
     4	from collections.abc import Sequence
     5	import numbers
     6	import platform
     7	import struct
     8	
     9	import warnings
    10	import numpy as np
    11	from scipy.sparse import issparse
    12	
    13	from .murmurhash import murmurhash3_32
    14	from .class_weight import compute_class_weight, compute_sample_weight
    15	from . import _joblib
    16	from ..exceptions import DataConversionWarning
    17	from .deprecation import deprecated
    18	from .validation import (as_float_array,
    19	                         assert_all_finite,
    20	                         check_random_state, column_or_1d, check_array,
    21	                         check_consistent_length, check_X_y, indexable,
    22	                         check_symmetric, check_scalar)
    23	from .. import get_config
    24	
    25	
    26	# Do not deprecate parallel_backend and register_parallel_backend as they are
    27	# needed to tune `scikit-learn` behavior and have different effect if called
    28	# from the vendored version or or the site-package version. The other are
    29	# utilities that are independent of scikit-learn so they are not part of
    30	# scikit-learn public API.
    31	parallel_backend = _joblib.parallel_backend
    32	register_parallel_backend = _joblib.register_parallel_backend
    33	
    34	# deprecate the joblib API in sklearn in favor of using directly joblib
    35	msg = ("deprecated in version 0.20.1 to be removed in version 0.23. "
    36	       "Please import this functionality directly from joblib, which can "
    37	       "be installed with: pip install joblib.")
    38	deprecate = deprecated(msg)
    39	
    40	delayed = deprecate(_joblib.delayed)
    41	cpu_count = deprecate(_joblib.cpu_count)
    42	hash = deprecate(_joblib.hash)
    43	effective_n_jobs = deprecate(_joblib.effective_n_jobs)
    44	
    45	
    46	# for classes, deprecated will change the object in _joblib module so we need
    47	# to subclass them.
    48	@deprecate
    49	class Memory(_joblib.Memory):
    50	    pass
    51	
    52	
    53	@deprecate
    54	class Parallel(_joblib.Parallel):
    55	    pass
    56	
    57	
    58	__all__ = ["murmurhash3_32", "as_float_array",
    59	           "assert_all_finite", "check_array",
    60	           "check_random_state",
    61	           "compute_class_weight", "compute_sample_weight",
    62	           "column_or_1d", "safe_indexing",
    63	           "check_consistent_length", "check_X_y", "check_scalar", 'indexable',
    64	           "check_symmetric", "indices_to_mask", "deprecated",
    65	           "cpu_count", "Parallel", "Memory", "delayed", "parallel_backend",
    66	           "register_parallel_backend", "hash", "effective_n_jobs",
    67	           "resample", "shuffle"]
    68	
    69	IS_PYPY = platform.python_implementation() == 'PyPy'
    70	_IS_32BIT = 8 * struct.calcsize("P") == 32
    71	
    72	
    73	class Bunch(dict):
    74	    """Container object for datasets
    75	
    76	    Dictionary-like object that exposes its keys as attributes.
    77	
    78	    >>> b = Bunch(a=1, b=2)
    79	    >>> b['b']
    80	    2
    81	    >>> b.b
    82	    2
    83	    >>> b.a = 3
    84	    >>> b['a']
    85	    3
    86	    >>> b.c = 6
    87	    >>> b['c']
    88	    6
    89	
    90	    """
    91	
    92	    def __init__(self, **kwargs):
    93	        super().__init__(kwargs)
    94	
    95	    def __setattr__(self, key, value):
    96	        self[key] = value
    97	
    98	    def __dir__(self):
    99	        return self.keys()
   100	
   101	    def __getattr__(self, key):
   102	        try:
   103	            return self[key]
   104	        except KeyError:
   105	            raise AttributeError(key)
   106	
   107	    def __setstate__(self, state):
   108	        # Bunch pickles generated with scikit-learn 0.16.* have an non
   109	        # empty __dict__. This causes a surprising behaviour when
   110	        # loading these pickles scikit-learn 0.17: reading bunch.key
   111	        # uses __dict__ but assigning to bunch.key use __setattr__ and
   112	        # only changes bunch['key']. More details can be found at:
   113	        # https://github.com/scikit-learn/scikit-learn/issues/6196.
   114	        # Overriding __setstate__ to be a noop has the effect of
   115	        # ignoring the pickled __dict__
   116	        pass
   117	
   118	
   119	def safe_mask(X, mask):
   120	    """Return a mask which is safe to use on X.
   121	
   122	    Parameters
   123	    ----------
   124	    X : {array-like, sparse matrix}
   125	        Data on which to apply mask.
   126	
   127	    mask : array
   128	        Mask to be used on X.
   129	
   130	    Returns
   131	    -------
   132	        mask
   133	    """
   134	    mask = np.asarray(mask)
   135	    if np.issubdtype(mask.dtype, np.signedinteger):
   136	        return mask
   137	
   138	    if hasattr(X, "toarray"):
   139	        ind = np.arange(mask.shape[0])
   140	        mask = ind[mask]
   141	    return mask
   142	
   143	
   144	def axis0_safe_slice(X, mask, len_mask):
   145	    """
   146	    This mask is safer than safe_mask since it returns an
   147	    empty array, when a sparse matrix is sliced with a boolean mask
   148	    with all False, instead of raising an unhelpful error in older
   149	    versions of SciPy.
   150	
   151	    See: https://github.com/scipy/scipy/issues/5361
   152	
   153	    Also note that we can avoid doing the dot product by checking if
   154	    the len_mask is not zero in _huber_loss_and_gradient but this
   155	    is not going to be the bottleneck, since the number of outliers
   156	    and non_outliers are typically non-zero and it makes the code
   157	    tougher to follow.
   158	
   159	    Parameters
   160	    ----------
   161	    X : {array-like, sparse matrix}
   162	        Data on which to apply mask.
   163	
   164	    mask : array
   165	        Mask to be used on X.
   166	
   167	    len_mask : int
   168	        The length of the mask.
   169	
   170	    Returns
   171	    -------
   172	        mask
   173	    """
   174	    if len_mask != 0:
   175	        return X[safe_mask(X, mask), :]
   176	    return np.zeros(shape=(0, X.shape[1]))
   177	
   178	
   179	def safe_indexing(X, indices):
   180	    """Return items or rows from X using indices.
   181	
   182	    Allows simple indexing of lists or arrays.
   183	
   184	    Parameters
   185	    ----------
   186	    X : array-like, sparse-matrix, list, pandas.DataFrame, pandas.Series.
   187	        Data from which to sample rows or items.
   188	    indices : array-like of int
   189	        Indices according to which X will be subsampled.
   190	
   191	    Returns
   192	    -------
   193	    subset
   194	        Subset of X on first axis
   195	
   196	    Notes
   197	    -----
   198	    CSR, CSC, and LIL sparse matrices are supported. COO sparse matrices are
   199	    not supported.
   200	    """
   201	    if hasattr(X, "iloc"):
   202	        # Work-around for indexing with read-only indices in pandas
   203	        indices = indices if indices.flags.writeable else indices.copy()
   204	        # Pandas Dataframes and Series
   205	        try:
   206	            return X.iloc[indices]
   207	        except ValueError:
   208	            # Cython typed memoryviews internally used in pandas do not support
   209	            # readonly buffers.
   210	            warnings.warn("Copying input dataframe for slicing.",
   211	                          DataConversionWarning)
   212	            return X.copy().iloc[indices]
   213	    elif hasattr(X, "shape"):
   214	        if hasattr(X, 'take') and (hasattr(indices, 'dtype') and
   215	                                   indices.dtype.kind == 'i'):
   216	            # This is often substantially faster than X[indices]
   217	            return X.take(indices, axis=0)
   218	        else:
   219	            return X[indices]
   220	    else:
   221	        return [X[idx] for idx in indices]
   222	
   223	
   224	def resample(*arrays, **options):
   225	    """Resample arrays or sparse matrices in a consistent way
   226	
   227	    The default strategy implements one step of the bootstrapping
   228	    procedure.
   229	
   230	    Parameters
   231	    ----------
   232	    *arrays : sequence of indexable data-structures
   233	        Indexable data-structures can be arrays, lists, dataframes or scipy
