I'll help you implement the necessary changes to fix the issue with `HttpResponse.delete_cookie()` not preserving the cookie's `samesite` attribute. Let's start by exploring the repository structure to understand the codebase.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(http|response|cookie)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/messages_tests/test_cookie.py
/testbed/tests/sitemaps_tests/test_http.py
/testbed/tests/sitemaps_tests/test_https.py
/testbed/tests/sitemaps_tests/urls/http.py
/testbed/tests/sitemaps_tests/urls/https.py
/testbed/tests/httpwrappers/__init__.py
/testbed/tests/httpwrappers/tests.py
/testbed/tests/servers/test_basehttp.py
/testbed/tests/signed_cookies_tests/__init__.py
/testbed/tests/signed_cookies_tests/tests.py
/testbed/tests/utils_tests/test_http.py
/testbed/tests/template_tests/test_response.py
/testbed/tests/responses/__init__.py
/testbed/tests/responses/test_fileresponse.py
/testbed/tests/responses/test_cookie.py
/testbed/tests/responses/tests.py
/testbed/django/template/response.py
/testbed/django/views/decorators/http.py
/testbed/django/contrib/sessions/backends/signed_cookies.py
/testbed/django/contrib/messages/storage/cookie.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "django/http" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/django/http/__init__.py
/testbed/django/http/cookie.py
/testbed/django/http/response.py
/testbed/django/http/multipartparser.py
/testbed/django/http/request.py</function_results>

Let's look at the main HTTP response module where the `delete_cookie` method is likely defined:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/http</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/django/http, excluding hidden items and node_modules:
75K	/testbed/django/http
   110	        Convert headers key/value to ascii/latin-1 native strings.
   111	
   112	        `charset` must be 'ascii' or 'latin-1'. If `mime_encode` is True and
   113	        `value` can't be represented in the given charset, apply MIME-encoding.
   114	        """
   115	        if not isinstance(value, (bytes, str)):
   116	            value = str(value)
   117	        if ((isinstance(value, bytes) and (b'\n' in value or b'\r' in value)) or
   118	                isinstance(value, str) and ('\n' in value or '\r' in value)):
   119	            raise BadHeaderError("Header values can't contain newlines (got %r)" % value)
   120	        try:
   121	            if isinstance(value, str):
   122	                # Ensure string is valid in given charset
   123	                value.encode(charset)
   124	            else:
   125	                # Convert bytestring using given charset
   126	                value = value.decode(charset)
   127	        except UnicodeError as e:
   128	            if mime_encode:
   129	                value = Header(value, 'utf-8', maxlinelen=sys.maxsize).encode()
   130	            else:
   131	                e.reason += ', HTTP response headers must be in %s format' % charset
   132	                raise
   133	        return value
   134	
   135	    def __setitem__(self, header, value):
   136	        header = self._convert_to_charset(header, 'ascii')
   137	        value = self._convert_to_charset(value, 'latin-1', mime_encode=True)
   138	        self._headers[header.lower()] = (header, value)
   139	
   140	    def __delitem__(self, header):
   141	        self._headers.pop(header.lower(), False)
   142	
   143	    def __getitem__(self, header):
   144	        return self._headers[header.lower()][1]
   145	
   146	    def has_header(self, header):
   147	        """Case-insensitive check for a header."""
   148	        return header.lower() in self._headers
   149	
   150	    __contains__ = has_header
   151	
   152	    def items(self):
   153	        return self._headers.values()
   154	
   155	    def get(self, header, alternate=None):
   156	        return self._headers.get(header.lower(), (None, alternate))[1]
   157	
   158	    def set_cookie(self, key, value='', max_age=None, expires=None, path='/',
   159	                   domain=None, secure=False, httponly=False, samesite=None):
   160	        """
   161	        Set a cookie.
   162	
   163	        ``expires`` can be:
   164	        - a string in the correct format,
   165	        - a naive ``datetime.datetime`` object in UTC,
   166	        - an aware ``datetime.datetime`` object in any time zone.
   167	        If it is a ``datetime.datetime`` object then calculate ``max_age``.
   168	        """
   169	        self.cookies[key] = value
   170	        if expires is not None:
   171	            if isinstance(expires, datetime.datetime):
   172	                if timezone.is_aware(expires):
   173	                    expires = timezone.make_naive(expires, timezone.utc)
   174	                delta = expires - expires.utcnow()
   175	                # Add one second so the date matches exactly (a fraction of
   176	                # time gets lost between converting to a timedelta and
   177	                # then the date string).
   178	                delta = delta + datetime.timedelta(seconds=1)
   179	                # Just set max_age - the max_age logic will set expires.
   180	                expires = None
   181	                max_age = max(0, delta.days * 86400 + delta.seconds)
   182	            else:
   183	                self.cookies[key]['expires'] = expires
   184	        else:
   185	            self.cookies[key]['expires'] = ''
   186	        if max_age is not None:
   187	            self.cookies[key]['max-age'] = max_age
   188	            # IE requires expires, so set it if hasn't been already.
   189	            if not expires:
   190	                self.cookies[key]['expires'] = http_date(time.time() + max_age)
   191	        if path is not None:
   192	            self.cookies[key]['path'] = path
   193	        if domain is not None:
   194	            self.cookies[key]['domain'] = domain
   195	        if secure:
   196	            self.cookies[key]['secure'] = True
   197	        if httponly:
   198	            self.cookies[key]['httponly'] = True
   199	        if samesite:
   200	            if samesite.lower() not in ('lax', 'none', 'strict'):
   201	                raise ValueError('samesite must be "lax", "none", or "strict".')
   202	            self.cookies[key]['samesite'] = samesite
   203	
   204	    def setdefault(self, key, value):
   205	        """Set a header unless it has already been set."""
   206	        if key not in self:
   207	            self[key] = value
   208	
   209	    def set_signed_cookie(self, key, value, salt='', **kwargs):
   210	        value = signing.get_cookie_signer(salt=key + salt).sign(value)
   211	        return self.set_cookie(key, value, **kwargs)
   212	
   213	    def delete_cookie(self, key, path='/', domain=None):
   214	        # Most browsers ignore the Set-Cookie header if the cookie name starts
   215	        # with __Host- or __Secure- and the cookie doesn't use the secure flag.
   216	        secure = key.startswith(('__Secure-', '__Host-'))
   217	        self.set_cookie(
   218	            key, max_age=0, path=path, domain=domain, secure=secure,
   219	            expires='Thu, 01 Jan 1970 00:00:00 GMT',
   220	        )
   221	
   222	    # Common methods used by subclasses
   223	
   224	    def make_bytes(self, value):
   225	        """Turn a value into a bytestring encoded in the output charset."""
   226	        # Per PEP 3333, this response body must be bytes. To avoid returning
	< truncated lines 227-337 >
   338	
   339	    def writable(self):
   340	        return True
   341	
   342	    def writelines(self, lines):
   343	        for line in lines:
   344	            self.write(line)
   345	
   346	
   347	class StreamingHttpResponse(HttpResponseBase):
   348	    """
   349	    A streaming HTTP response class with an iterator as content.
   350	
   351	    This should only be iterated once, when the response is streamed to the
   352	    client. However, it can be appended to or replaced with a new iterator
   353	    that wraps the original content (or yields entirely new content).
   354	    """
   355	
   356	    streaming = True
   357	
   358	    def __init__(self, streaming_content=(), *args, **kwargs):
   359	        super().__init__(*args, **kwargs)
   360	        # `streaming_content` should be an iterable of bytestrings.
   361	        # See the `streaming_content` property methods.
   362	        self.streaming_content = streaming_content
   363	
   364	    @property
   365	    def content(self):
   366	        raise AttributeError(
   367	            "This %s instance has no `content` attribute. Use "
   368	            "`streaming_content` instead." % self.__class__.__name__
   369	        )
   370	
   371	    @property
   372	    def streaming_content(self):
   373	        return map(self.make_bytes, self._iterator)
   374	
   375	    @streaming_content.setter
   376	    def streaming_content(self, value):
   377	        self._set_streaming_content(value)
   378	
   379	    def _set_streaming_content(self, value):
   380	        # Ensure we can never iterate on "value" more than once.
   381	        self._iterator = iter(value)
   382	        if hasattr(value, 'close'):
   383	            self._resource_closers.append(value.close)
   384	
   385	    def __iter__(self):
   386	        return self.streaming_content
   387	
   388	    def getvalue(self):
   389	        return b''.join(self.streaming_content)
   390	
   391	
   392	class FileResponse(StreamingHttpResponse):
   393	    """
   394	    A streaming HTTP response class optimized for files.
   395	    """
   396	    block_size = 4096
   397	
   398	    def __init__(self, *args, as_attachment=False, filename='', **kwargs):
   399	        self.as_attachment = as_attachment
   400	        self.filename = filename
   401	        super().__init__(*args, **kwargs)
   402	
   403	    def _set_streaming_content(self, value):
   404	        if not hasattr(value, 'read'):
   405	            self.file_to_stream = None
   406	            return super()._set_streaming_content(value)
   407	
   408	        self.file_to_stream = filelike = value
   409	        if hasattr(filelike, 'close'):
   410	            self._resource_closers.append(filelike.close)
   411	        value = iter(lambda: filelike.read(self.block_size), b'')
   412	        self.set_headers(filelike)
   413	        super()._set_streaming_content(value)
   414	
   415	    def set_headers(self, filelike):
   416	        """
   417	        Set some common response headers (Content-Length, Content-Type, and
   418	        Content-Disposition) based on the `filelike` response content.
   419	        """
   420	        encoding_map = {
   421	            'bzip2': 'application/x-bzip',
   422	            'gzip': 'application/gzip',
   423	            'xz': 'application/x-xz',
   424	        }
   425	        filename = getattr(filelike, 'name', None)
   426	        filename = filename if (isinstance(filename, str) and filename) else self.filename
   427	        if os.path.isabs(filename):
   428	            self['Content-Length'] = os.path.getsize(filelike.name)
   429	        elif hasattr(filelike, 'getbuffer'):
   430	            self['Content-Length'] = filelike.getbuffer().nbytes
   431	
   432	        if self.get('Content-Type', '').startswith('text/html'):
   433	            if filename:
   434	                content_type, encoding = mimetypes.guess_type(filename)
   435	                # Encoding isn't set to prevent browsers from automatically
   436	                # uncompressing files.
   437	                content_type = encoding_map.get(encoding, content_type)
   438	                self['Content-Type'] = content_type or 'application/octet-stream'
   439	            else:
   440	                self['Content-Type'] = 'application/octet-stream'
   441	
   442	        filename = self.filename or os.path.basename(filename)
   443	        if filename:
   444	            disposition = 'attachment' if self.as_attachment else 'inline'
   445	            try:
   446	                filename.encode('ascii')
   447	                file_expr = 'filename="{}"'.format(filename)
   448	            except UnicodeEncodeError:
   449	                file_expr = "filename*=utf-8''{}".format(quote(filename))
   450	            self['Content-Disposition'] = '{}; {}'.format(disposition, file_expr)
   451	        elif self.as_attachment:
   452	            self['Content-Disposition'] = 'attachment'
   453	
   454	
   455	class HttpResponseRedirectBase(HttpResponse):
   456	    allowed_schemes = ['http', 'https', 'ftp']
   457	
   458	    def __init__(self, redirect_to, *args, **kwargs):
   459	        super().__init__(*args, **kwargs)
   460	        self['Location'] = iri_to_uri(redirect_to)
   461	        parsed = urlparse(str(redirect_to))
   462	        if parsed.scheme and parsed.scheme not in self.allowed_schemes:
   463	            raise DisallowedRedirect("Unsafe redirect to URL with protocol '%s'" % parsed.scheme)
   464	
   465	    url = property(lambda self: self['Location'])
   466	
   467	    def __repr__(self):
   468	        return '<%(cls)s status_code=%(status_code)d%(content_type)s, url="%(url)s">' % {
   469	            'cls': self.__class__.__name__,
   470	            'status_code': self.status_code,
   471	            'content_type': self._content_type_for_repr,
   472	            'url': self.url,
   473	        }
   474	
   475	
   476	class HttpResponseRedirect(HttpResponseRedirectBase):
   477	    status_code = 302
   478	
   479	
   480	class HttpResponsePermanentRedirect(HttpResponseRedirectBase):
   481	    status_code = 301
   482	
   483	
   484	class HttpResponseNotModified(HttpResponse):
   485	    status_code = 304
   486	
   487	    def __init__(self, *args, **kwargs):
   488	        super().__init__(*args, **kwargs)
   489	        del self['content-type']
   490	
   491	    @HttpResponse.content.setter
   492	    def content(self, value):
   493	        if value:
   494	            raise AttributeError("You cannot set content to a 304 (Not Modified) response")
   495	        self._container = []
   496	
   497	
   498	class HttpResponseBadRequest(HttpResponse):
   499	    status_code = 400
   500	
   501	
   502	class HttpResponseNotFound(HttpResponse):
   503	    status_code = 404
   504	
   505	
   506	class HttpResponseForbidden(HttpResponse):
   507	    status_code = 403
   508	
   509	
   510	class HttpResponseNotAllowed(HttpResponse):
   511	    status_code = 405
   512	
   513	    def __init__(self, permitted_methods, *args, **kwargs):
   514	        super().__init__(*args, **kwargs)
   515	        self['Allow'] = ', '.join(permitted_methods)
   516	
   517	    def __repr__(self):
   518	        return '<%(cls)s [%(methods)s] status_code=%(status_code)d%(content_type)s>' % {
   519	            'cls': self.__class__.__name__,
   520	            'status_code': self.status_code,
   521	            'content_type': self._content_type_for_repr,
   522	            'methods': self['Allow'],
   523	        }
   524	
   525	
   526	class HttpResponseGone(HttpResponse):
   527	    status_code = 410
   528	
   529	
   530	class HttpResponseServerError(HttpResponse):
   531	    status_code = 500
   532	
   533	
   534	class Http404(Exception):
   535	    pass
   536	
   537	
   538	class JsonResponse(HttpResponse):
   539	    """
   540	    An HTTP response class that consumes data to be serialized to JSON.
   541	
   542	    :param data: Data to be dumped into json. By default only ``dict`` objects
   543	      are allowed to be passed due to a security flaw before EcmaScript 5. See
   544	      the ``safe`` parameter for more information.
   545	    :param encoder: Should be a json encoder class. Defaults to
   546	      ``django.core.serializers.json.DjangoJSONEncoder``.
   547	    :param safe: Controls if only ``dict`` objects may be serialized. Defaults
   548	      to ``True``.
   549	    :param json_dumps_params: A dictionary of kwargs passed to json.dumps().
   550	    """
   551	
   552	    def __init__(self, data, encoder=DjangoJSONEncoder, safe=True,
   553	                 json_dumps_params=None, **kwargs):
   554	        if safe and not isinstance(data, dict):
   555	            raise TypeError(
   556	                'In order to allow non-dict objects to be serialized set the '
   557	                'safe parameter to False.'
   558	            )
   559	        if json_dumps_params is None:
   560	            json_dumps_params = {}
   561	        kwargs.setdefault('content_type', 'application/json')
   562	        data = json.dumps(data, cls=encoder, **json_dumps_params)
   563	        super().__init__(content=data, **kwargs)
   564	</function_results>

Now I can see the issue! The `delete_cookie` method on lines 213-220 doesn't preserve the `samesite` attribute. Let's look at the existing tests to understand the expected behavior:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/tests/responses</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/tests/responses, excluding hidden items and node_modules:
20K	/testbed/tests/responses
0	/testbed/tests/responses/__init__.py
5.5K	/testbed/tests/responses/test_cookie.py
4.0K	/testbed/tests/responses/test_fileresponse.py
6.0K	/testbed/tests/responses/tests.py
</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/tests/responses/test_cookie.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/tests/responses/test_cookie.py with line numbers:
     1	import time
     2	from datetime import datetime, timedelta
     3	from http import cookies
     4	
     5	from django.http import HttpResponse
     6	from django.test import SimpleTestCase
     7	from django.test.utils import freeze_time
     8	from django.utils.http import http_date
     9	from django.utils.timezone import utc
    10	
    11	
    12	class SetCookieTests(SimpleTestCase):
    13	
    14	    def test_near_expiration(self):
    15	        """Cookie will expire when a near expiration time is provided."""
    16	        response = HttpResponse()
    17	        # There's a timing weakness in this test; The expected result for
    18	        # max-age requires that there be a very slight difference between the
    19	        # evaluated expiration time and the time evaluated in set_cookie(). If
    20	        # this difference doesn't exist, the cookie time will be 1 second
    21	        # larger. The sleep guarantees that there will be a time difference.
    22	        expires = datetime.utcnow() + timedelta(seconds=10)
    23	        time.sleep(0.001)
    24	        response.set_cookie('datetime', expires=expires)
    25	        datetime_cookie = response.cookies['datetime']
    26	        self.assertEqual(datetime_cookie['max-age'], 10)
    27	
    28	    def test_aware_expiration(self):
    29	        """set_cookie() accepts an aware datetime as expiration time."""
    30	        response = HttpResponse()
    31	        expires = (datetime.utcnow() + timedelta(seconds=10)).replace(tzinfo=utc)
    32	        time.sleep(0.001)
    33	        response.set_cookie('datetime', expires=expires)
    34	        datetime_cookie = response.cookies['datetime']
    35	        self.assertEqual(datetime_cookie['max-age'], 10)
    36	
    37	    def test_create_cookie_after_deleting_cookie(self):
    38	        """Setting a cookie after deletion clears the expiry date."""
    39	        response = HttpResponse()
    40	        response.set_cookie('c', 'old-value')
    41	        self.assertEqual(response.cookies['c']['expires'], '')
    42	        response.delete_cookie('c')
    43	        self.assertEqual(response.cookies['c']['expires'], 'Thu, 01 Jan 1970 00:00:00 GMT')
    44	        response.set_cookie('c', 'new-value')
    45	        self.assertEqual(response.cookies['c']['expires'], '')
    46	
    47	    def test_far_expiration(self):
    48	        """Cookie will expire when a distant expiration time is provided."""
    49	        response = HttpResponse()
    50	        response.set_cookie('datetime', expires=datetime(2038, 1, 1, 4, 5, 6))
    51	        datetime_cookie = response.cookies['datetime']
    52	        self.assertIn(
    53	            datetime_cookie['expires'],
    54	            # assertIn accounts for slight time dependency (#23450)
    55	            ('Fri, 01 Jan 2038 04:05:06 GMT', 'Fri, 01 Jan 2038 04:05:07 GMT')
    56	        )
    57	
    58	    def test_max_age_expiration(self):
    59	        """Cookie will expire if max_age is provided."""
    60	        response = HttpResponse()
    61	        set_cookie_time = time.time()
    62	        with freeze_time(set_cookie_time):
    63	            response.set_cookie('max_age', max_age=10)
    64	        max_age_cookie = response.cookies['max_age']
    65	        self.assertEqual(max_age_cookie['max-age'], 10)
    66	        self.assertEqual(max_age_cookie['expires'], http_date(set_cookie_time + 10))
    67	
    68	    def test_httponly_cookie(self):
    69	        response = HttpResponse()
    70	        response.set_cookie('example', httponly=True)
    71	        example_cookie = response.cookies['example']
    72	        self.assertIn('; %s' % cookies.Morsel._reserved['httponly'], str(example_cookie))
    73	        self.assertIs(example_cookie['httponly'], True)
    74	
    75	    def test_unicode_cookie(self):
    76	        """HttpResponse.set_cookie() works with Unicode data."""
    77	        response = HttpResponse()
    78	        cookie_value = '清風'
    79	        response.set_cookie('test', cookie_value)
    80	        self.assertEqual(response.cookies['test'].value, cookie_value)
    81	
    82	    def test_samesite(self):
    83	        response = HttpResponse()
    84	        response.set_cookie('example', samesite='None')
    85	        self.assertEqual(response.cookies['example']['samesite'], 'None')
    86	        response.set_cookie('example', samesite='Lax')
    87	        self.assertEqual(response.cookies['example']['samesite'], 'Lax')
    88	        response.set_cookie('example', samesite='strict')
    89	        self.assertEqual(response.cookies['example']['samesite'], 'strict')
    90	
    91	    def test_invalid_samesite(self):
    92	        msg = 'samesite must be "lax", "none", or "strict".'
    93	        with self.assertRaisesMessage(ValueError, msg):
    94	            HttpResponse().set_cookie('example', samesite='invalid')
    95	
    96	
    97	class DeleteCookieTests(SimpleTestCase):
    98	
    99	    def test_default(self):
   100	        response = HttpResponse()
   101	        response.delete_cookie('c')
   102	        cookie = response.cookies['c']
   103	        self.assertEqual(cookie['expires'], 'Thu, 01 Jan 1970 00:00:00 GMT')
   104	        self.assertEqual(cookie['max-age'], 0)
   105	        self.assertEqual(cookie['path'], '/')
   106	        self.assertEqual(cookie['secure'], '')
   107	        self.assertEqual(cookie['domain'], '')
   108	
   109	    def test_delete_cookie_secure_prefix(self):
   110	        """
   111	        delete_cookie() sets the secure flag if the cookie name starts with
   112	        __Host- or __Secure- (without that, browsers ignore cookies with those
   113	        prefixes).
   114	        """
   115	        response = HttpResponse()
   116	        for prefix in ('Secure', 'Host'):
   117	            with self.subTest(prefix=prefix):
   118	                cookie_name = '__%s-c' % prefix
   119	                response.delete_cookie(cookie_name)
   120	                self.assertIs(response.cookies[cookie_name]['secure'], True)
   121	</function_results>

Now let's look at the messages cookie storage to understand how it uses cookies:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/contrib/messages/storage/cookie.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/contrib/messages/storage/cookie.py with line numbers:
     1	import json
     2	
     3	from django.conf import settings
     4	from django.contrib.messages.storage.base import BaseStorage, Message
     5	from django.core import signing
     6	from django.http import SimpleCookie
     7	from django.utils.crypto import constant_time_compare, salted_hmac
     8	from django.utils.safestring import SafeData, mark_safe
     9	
    10	
    11	class MessageEncoder(json.JSONEncoder):
    12	    """
    13	    Compactly serialize instances of the ``Message`` class as JSON.
    14	    """
    15	    message_key = '__json_message'
    16	
    17	    def default(self, obj):
    18	        if isinstance(obj, Message):
    19	            # Using 0/1 here instead of False/True to produce more compact json
    20	            is_safedata = 1 if isinstance(obj.message, SafeData) else 0
    21	            message = [self.message_key, is_safedata, obj.level, obj.message]
    22	            if obj.extra_tags:
    23	                message.append(obj.extra_tags)
    24	            return message
    25	        return super().default(obj)
    26	
    27	
    28	class MessageDecoder(json.JSONDecoder):
    29	    """
    30	    Decode JSON that includes serialized ``Message`` instances.
    31	    """
    32	
    33	    def process_messages(self, obj):
    34	        if isinstance(obj, list) and obj:
    35	            if obj[0] == MessageEncoder.message_key:
    36	                if obj[1]:
    37	                    obj[3] = mark_safe(obj[3])
    38	                return Message(*obj[2:])
    39	            return [self.process_messages(item) for item in obj]
    40	        if isinstance(obj, dict):
    41	            return {key: self.process_messages(value)
    42	                    for key, value in obj.items()}
    43	        return obj
    44	
    45	    def decode(self, s, **kwargs):
    46	        decoded = super().decode(s, **kwargs)
    47	        return self.process_messages(decoded)
    48	
    49	
    50	class CookieStorage(BaseStorage):
    51	    """
    52	    Store messages in a cookie.
    53	    """
    54	    cookie_name = 'messages'
    55	    # uwsgi's default configuration enforces a maximum size of 4kb for all the
    56	    # HTTP headers. In order to leave some room for other cookies and headers,
    57	    # restrict the session cookie to 1/2 of 4kb. See #18781.
    58	    max_cookie_size = 2048
    59	    not_finished = '__messagesnotfinished__'
    60	    key_salt = 'django.contrib.messages'
    61	
    62	    def __init__(self, *args, **kwargs):
    63	        super().__init__(*args, **kwargs)
    64	        self.signer = signing.get_cookie_signer(salt=self.key_salt)
    65	
    66	    def _get(self, *args, **kwargs):
    67	        """
    68	        Retrieve a list of messages from the messages cookie. If the
    69	        not_finished sentinel value is found at the end of the message list,
    70	        remove it and return a result indicating that not all messages were
    71	        retrieved by this storage.
    72	        """
    73	        data = self.request.COOKIES.get(self.cookie_name)
    74	        messages = self._decode(data)
    75	        all_retrieved = not (messages and messages[-1] == self.not_finished)
    76	        if messages and not all_retrieved:
    77	            # remove the sentinel value
    78	            messages.pop()
    79	        return messages, all_retrieved
    80	
    81	    def _update_cookie(self, encoded_data, response):
    82	        """
    83	        Either set the cookie with the encoded data if there is any data to
    84	        store, or delete the cookie.
    85	        """
    86	        if encoded_data:
    87	            response.set_cookie(
    88	                self.cookie_name, encoded_data,
    89	                domain=settings.SESSION_COOKIE_DOMAIN,
    90	                secure=settings.SESSION_COOKIE_SECURE or None,
    91	                httponly=settings.SESSION_COOKIE_HTTPONLY or None,
    92	                samesite=settings.SESSION_COOKIE_SAMESITE,
    93	            )
    94	        else:
    95	            response.delete_cookie(self.cookie_name, domain=settings.SESSION_COOKIE_DOMAIN)
    96	
