I'll help you implement the necessary changes to fix the issue where `Apps.clear_cache()` does not clear the `get_swappable_settings_name` cache. Let's start by exploring the repository structure to understand the codebase.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(app|registry)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/1_squashed_2.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/__init__.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/2_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app2/1_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/3_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/__init__.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/4_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/2_squashed_3.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/2_auto.py
/testbed/tests/migrations/test_migrations_squashed_ref_squashed/app1/1_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/1_squashed_2.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/__init__.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/2_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app2/1_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/__init__.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/3_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/__init__.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/4_auto.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/2_squashed_3.py
/testbed/tests/migrations/test_migrations_squashed_complex_multi_apps/app1/2_auto.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -path "*/django/apps*" -type f -name "*.py" | head -10</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/django/apps/__init__.py
/testbed/django/apps/config.py
/testbed/django/apps/registry.py</function_results>

Great! Let's examine the apps module structure:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/apps</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/django/apps, excluding hidden items and node_modules:
34K	/testbed/django/apps
   124	                app_config.ready()
   125	
   126	            self.ready = True
   127	            self.ready_event.set()
   128	
   129	    def check_apps_ready(self):
   130	        """Raise an exception if all apps haven't been imported yet."""
   131	        if not self.apps_ready:
   132	            from django.conf import settings
   133	
   134	            # If "not ready" is due to unconfigured settings, accessing
   135	            # INSTALLED_APPS raises a more helpful ImproperlyConfigured
   136	            # exception.
   137	            settings.INSTALLED_APPS
   138	            raise AppRegistryNotReady("Apps aren't loaded yet.")
   139	
   140	    def check_models_ready(self):
   141	        """Raise an exception if all models haven't been imported yet."""
   142	        if not self.models_ready:
   143	            raise AppRegistryNotReady("Models aren't loaded yet.")
   144	
   145	    def get_app_configs(self):
   146	        """Import applications and return an iterable of app configs."""
   147	        self.check_apps_ready()
   148	        return self.app_configs.values()
   149	
   150	    def get_app_config(self, app_label):
   151	        """
   152	        Import applications and returns an app config for the given label.
   153	
   154	        Raise LookupError if no application exists with this label.
   155	        """
   156	        self.check_apps_ready()
   157	        try:
   158	            return self.app_configs[app_label]
   159	        except KeyError:
   160	            message = "No installed app with label '%s'." % app_label
   161	            for app_config in self.get_app_configs():
   162	                if app_config.name == app_label:
   163	                    message += " Did you mean '%s'?" % app_config.label
   164	                    break
   165	            raise LookupError(message)
   166	
   167	    # This method is performance-critical at least for Django's test suite.
   168	    @functools.cache
   169	    def get_models(self, include_auto_created=False, include_swapped=False):
   170	        """
   171	        Return a list of all installed models.
   172	
   173	        By default, the following models aren't included:
   174	
   175	        - auto-created models for many-to-many relations without
   176	          an explicit intermediate table,
   177	        - models that have been swapped out.
   178	
   179	        Set the corresponding keyword argument to True to include such models.
   180	        """
   181	        self.check_models_ready()
   182	
   183	        result = []
   184	        for app_config in self.app_configs.values():
   185	            result.extend(app_config.get_models(include_auto_created, include_swapped))
   186	        return result
   187	
   188	    def get_model(self, app_label, model_name=None, require_ready=True):
   189	        """
   190	        Return the model matching the given app_label and model_name.
   191	
   192	        As a shortcut, app_label may be in the form <app_label>.<model_name>.
   193	
   194	        model_name is case-insensitive.
   195	
   196	        Raise LookupError if no application exists with this label, or no
   197	        model exists with this name in the application. Raise ValueError if
   198	        called with a single argument that doesn't contain exactly one dot.
   199	        """
   200	        if require_ready:
   201	            self.check_models_ready()
   202	        else:
   203	            self.check_apps_ready()
   204	
	< truncated lines 205-234 >
   235	                    "Conflicting '%s' models in application '%s': %s and %s."
   236	                    % (model_name, app_label, app_models[model_name], model)
   237	                )
   238	        app_models[model_name] = model
   239	        self.do_pending_operations(model)
   240	        self.clear_cache()
   241	
   242	    def is_installed(self, app_name):
   243	        """
   244	        Check whether an application with this name exists in the registry.
   245	
   246	        app_name is the full name of the app e.g. 'django.contrib.admin'.
   247	        """
   248	        self.check_apps_ready()
   249	        return any(ac.name == app_name for ac in self.app_configs.values())
   250	
   251	    def get_containing_app_config(self, object_name):
   252	        """
   253	        Look for an app config containing a given object.
   254	
   255	        object_name is the dotted Python path to the object.
   256	
   257	        Return the app config for the inner application in case of nesting.
   258	        Return None if the object isn't in any registered app config.
   259	        """
   260	        self.check_apps_ready()
   261	        candidates = []
   262	        for app_config in self.app_configs.values():
   263	            if object_name.startswith(app_config.name):
   264	                subpath = object_name.removeprefix(app_config.name)
   265	                if subpath == "" or subpath[0] == ".":
   266	                    candidates.append(app_config)
   267	        if candidates:
   268	            return sorted(candidates, key=lambda ac: -len(ac.name))[0]
   269	
   270	    def get_registered_model(self, app_label, model_name):
   271	        """
   272	        Similar to get_model(), but doesn't require that an app exists with
   273	        the given app_label.
   274	
   275	        It's safe to call this method at import time, even while the registry
   276	        is being populated.
   277	        """
   278	        model = self.all_models[app_label].get(model_name.lower())
   279	        if model is None:
   280	            raise LookupError("Model '%s.%s' not registered." % (app_label, model_name))
   281	        return model
   282	
   283	    @functools.cache
   284	    def get_swappable_settings_name(self, to_string):
   285	        """
   286	        For a given model string (e.g. "auth.User"), return the name of the
   287	        corresponding settings name if it refers to a swappable model. If the
   288	        referred model is not swappable, return None.
   289	
   290	        This method is decorated with @functools.cache because it's performance
   291	        critical when it comes to migrations. Since the swappable settings don't
   292	        change after Django has loaded the settings, there is no reason to get
   293	        the respective settings attribute over and over again.
   294	        """
   295	        to_string = to_string.lower()
   296	        for model in self.get_models(include_swapped=True):
   297	            swapped = model._meta.swapped
   298	            # Is this model swapped out for the model given by to_string?
   299	            if swapped and swapped.lower() == to_string:
   300	                return model._meta.swappable
   301	            # Is this model swappable and the one given by to_string?
   302	            if model._meta.swappable and model._meta.label_lower == to_string:
   303	                return model._meta.swappable
   304	        return None
   305	
   306	    def set_available_apps(self, available):
   307	        """
   308	        Restrict the set of installed apps used by get_app_config[s].
   309	
   310	        available must be an iterable of application names.
   311	
   312	        set_available_apps() must be balanced with unset_available_apps().
   313	
   314	        Primarily used for performance optimization in TransactionTestCase.
   315	
   316	        This method is safe in the sense that it doesn't trigger any imports.
   317	        """
   318	        available = set(available)
   319	        installed = {app_config.name for app_config in self.get_app_configs()}
   320	        if not available.issubset(installed):
   321	            raise ValueError(
   322	                "Available apps isn't a subset of installed apps, extra apps: %s"
   323	                % ", ".join(available - installed)
   324	            )
   325	
   326	        self.stored_app_configs.append(self.app_configs)
   327	        self.app_configs = {
   328	            label: app_config
   329	            for label, app_config in self.app_configs.items()
   330	            if app_config.name in available
   331	        }
   332	        self.clear_cache()
   333	
   334	    def unset_available_apps(self):
   335	        """Cancel a previous call to set_available_apps()."""
   336	        self.app_configs = self.stored_app_configs.pop()
   337	        self.clear_cache()
   338	
   339	    def set_installed_apps(self, installed):
   340	        """
   341	        Enable a different set of installed apps for get_app_config[s].
   342	
   343	        installed must be an iterable in the same format as INSTALLED_APPS.
   344	
   345	        set_installed_apps() must be balanced with unset_installed_apps(),
   346	        even if it exits with an exception.
   347	
   348	        Primarily used as a receiver of the setting_changed signal in tests.
   349	
   350	        This method may trigger new imports, which may add new models to the
   351	        registry of all imported models. They will stay in the registry even
   352	        after unset_installed_apps(). Since it isn't possible to replay
   353	        imports safely (e.g. that could lead to registering listeners twice),
   354	        models are registered when they're imported and never removed.
   355	        """
   356	        if not self.ready:
   357	            raise AppRegistryNotReady("App registry isn't ready yet.")
   358	        self.stored_app_configs.append(self.app_configs)
   359	        self.app_configs = {}
   360	        self.apps_ready = self.models_ready = self.loading = self.ready = False
   361	        self.clear_cache()
   362	        self.populate(installed)
   363	
   364	    def unset_installed_apps(self):
   365	        """Cancel a previous call to set_installed_apps()."""
   366	        self.app_configs = self.stored_app_configs.pop()
   367	        self.apps_ready = self.models_ready = self.ready = True
   368	        self.clear_cache()
   369	
   370	    def clear_cache(self):
   371	        """
   372	        Clear all internal caches, for methods that alter the app registry.
   373	
   374	        This is mostly used in tests.
   375	        """
   376	        # Call expire cache on each model. This will purge
   377	        # the relation tree and the fields cache.
   378	        self.get_models.cache_clear()
   379	        if self.ready:
   380	            # Circumvent self.get_models() to prevent that the cache is refilled.
   381	            # This particularly prevents that an empty value is cached while cloning.
   382	            for app_config in self.app_configs.values():
   383	                for model in app_config.get_models(include_auto_created=True):
   384	                    model._meta._expire_cache()
   385	
   386	    def lazy_model_operation(self, function, *model_keys):
   387	        """
   388	        Take a function and a number of ("app_label", "modelname") tuples, and
   389	        when all the corresponding models have been imported and registered,
   390	        call the function with the model classes as its arguments.
   391	
   392	        The function passed to this method must accept exactly n models as
   393	        arguments, where n=len(model_keys).
   394	        """
   395	        # Base case: no arguments, just execute the function.
   396	        if not model_keys:
   397	            function()
   398	        # Recursive case: take the head of model_keys, wait for the
   399	        # corresponding model class to be imported and registered, then apply
   400	        # that argument to the supplied function. Pass the resulting partial
   401	        # to lazy_model_operation() along with the remaining model args and
   402	        # repeat until all models are loaded and all arguments are applied.
   403	        else:
   404	            next_model, *more_models = model_keys
   405	
   406	            # This will be executed after the class corresponding to next_model
   407	            # has been imported and registered. The `func` attribute provides
   408	            # duck-type compatibility with partials.
   409	            def apply_next_model(model):
   410	                next_function = partial(apply_next_model.func, model)
   411	                self.lazy_model_operation(next_function, *more_models)
   412	
   413	            apply_next_model.func = function
   414	
   415	            # If the model has already been imported and registered, partially
   416	            # apply it to the function now. If not, add it to the list of
   417	            # pending operations for the model, where it will be executed with
   418	            # the model class as its sole argument once the model is ready.
   419	            try:
   420	                model_class = self.get_registered_model(*next_model)
   421	            except LookupError:
   422	                self._pending_operations[next_model].append(apply_next_model)
   423	            else:
   424	                apply_next_model(model_class)
   425	
   426	    def do_pending_operations(self, model):
   427	        """
   428	        Take a newly-prepared model and pass it to each function waiting for
   429	        it. This is called at the very end of Apps.register_model().
   430	        """
   431	        key = model._meta.app_label, model._meta.model_name
   432	        for function in self._pending_operations.pop(key, []):
   433	            function(model)
   434	
   435	
   436	apps = Apps(installed_apps=None)
   437	</function_results>

Perfect! Now I can see the issue. Looking at the code:

1. The `get_swappable_settings_name` method at line 284 is decorated with `@functools.cache` 
2. The `clear_cache` method at line 370 only calls `self.get_models.cache_clear()` but doesn't clear the cache for `get_swappable_settings_name`

According to the problem statement, we need to add `self.get_swappable_settings_name.cache_clear()` to the `clear_cache` method.

Let's first write a test to reproduce the issue:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_clear_cache_issue.py</antml:parameter>
<antml:parameter name="file_text">#!/usr/bin/env python
"""
Test script to reproduce the issue where Apps.clear_cache() 
does not clear get_swappable_settings_name cache.
"""

import os
import sys
import django
from django.conf import settings

# Configure Django settings
if not settings.configured:
    settings.configure(
        DEBUG=True,
        INSTALLED_APPS=[
            'django.contrib.auth',
            'django.contrib.contenttypes',
        ],
        SECRET_KEY='test-secret-key',
        USE_TZ=True,
    )

django.setup()

from django.apps import apps


def test_clear_cache_clears_swappable_settings_cache():
    """Test that clear_cache() clears the get_swappable_settings_name cache."""
    
    # First, call get_swappable_settings_name to populate the cache
    result1 = apps.get_swappable_settings_name('auth.User')
    print(f"First call result: {result1}")
    
    # Check if the method has cache_info (it should if it's cached)
    if hasattr(apps.get_swappable_settings_name, 'cache_info'):
        cache_info_before = apps.get_swappable_settings_name.cache_info()
        print(f"Cache info before clear: {cache_info_before}")
        
        # Call the method again to increase cache hits
        result2 = apps.get_swappable_settings_name('auth.User')
        cache_info_after_second_call = apps.get_swappable_settings_name.cache_info()
        print(f"Cache info after second call: {cache_info_after_second_call}")
        
        # Verify that we got a cache hit
        assert cache_info_after_second_call.hits > cache_info_before.hits, "Expected cache hit"
        
        # Now clear the cache
        apps.clear_cache()
        
        # Check cache info after clear_cache
        cache_info_after_clear = apps.get_swappable_settings_name.cache_info()
        print(f"Cache info after clear_cache: {cache_info_after_clear}")
        
        # The cache should be cleared, so hits and misses should be 0
        # This is the bug - currently clear_cache doesn't clear this cache
        if cache_info_after_clear.hits == 0 and cache_info_after_clear.misses == 0:
            print("✓ PASS: Cache was properly cleared")
            return True
        else:
            print("✗ FAIL: Cache was NOT cleared - this is the bug!")
            return False
    else:
        print("Method doesn't have cache_info - not cached properly")
        return False


if __name__ == "__main__":
    success = test_clear_cache_clears_swappable_settings_cache()
    sys.exit(0 if success else 1)
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_clear_cache_issue.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_clear_cache_issue.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>First call result: AUTH_USER_MODEL
Cache info before clear: CacheInfo(hits=0, misses=1, maxsize=None, currsize=1)
Cache info after second call: CacheInfo(hits=1, misses=1, maxsize=None, currsize=1)
Cache info after clear_cache: CacheInfo(hits=1, misses=1, maxsize=None, currsize=1)
✗ FAIL: Cache was NOT cleared - this is the bug!</function_results>

Perfect! The test confirms the issue. The cache is not being cleared when `apps.clear_cache()` is called. Now let's fix the issue by adding the cache clear call to the `clear_cache` method:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/django/apps/registry.py</antml:parameter>
<antml:parameter name="old_str">    def clear_cache(self):
        """
        Clear all internal caches, for methods that alter the app registry.

        This is mostly used in tests.
        """
        # Call expire cache on each model. This will purge
        # the relation tree and the fields cache.
        self.get_models.cache_clear()
        if self.ready:
            # Circumvent self.get_models() to prevent that the cache is refilled.
            # This particularly prevents that an empty value is cached while cloning.
            for app_config in self.app_configs.values():
                for model in app_config.get_models(include_auto_created=True):
                    model._meta._expire_cache()</antml:parameter>
<antml:parameter name="new_str">    def clear_cache(self):
        """
        Clear all internal caches, for methods that alter the app registry.

        This is mostly used in tests.
        """
        # Call expire cache on each model. This will purge
        # the relation tree and the fields cache.
        self.get_models.cache_clear()
        self.get_swappable_settings_name.cache_clear()
        if self.ready:
            # Circumvent self.get_models() to prevent that the cache is refilled.
            # This particularly prevents that an empty value is cached while cloning.
            for app_config in self.app_configs.values():
                for model in app_config.get_models(include_auto_created=True):
                    model._meta._expire_cache()</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/django/apps/registry.py has been edited successfully.</function_results>

Now let's test our fix:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_clear_cache_issue.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>First call result: AUTH_USER_MODEL
Cache info before clear: CacheInfo(hits=0, misses=1, maxsize=None, currsize=1)
Cache info after second call: CacheInfo(hits=1, misses=1, maxsize=None, currsize=1)
Cache info after clear_cache: CacheInfo(hits=0, misses=0, maxsize=None, currsize=0)
✓ PASS: Cache was properly cleared</function_results>

Excellent! Our fix works. The cache is now properly cleared when `apps.clear_cache()` is called.

Let's also create a proper test case that can be added to Django's test suite:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/tests</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/tests, excluding hidden items and node_modules:
16M	/testbed/tests
512	/testbed/tests/README.rst
6.5K	/testbed/tests/absolute_url_overrides
0	/testbed/tests/absolute_url_overrides/__init__.py
2.5K	/testbed/tests/absolute_url_overrides/tests.py
6.0K	/testbed/tests/admin_autodiscover
0	/testbed/tests/admin_autodiscover/__init__.py
512	/testbed/tests/admin_autodiscover/admin.py
512	/testbed/tests/admin_autodiscover/models.py
1.0K	/testbed/tests/admin_autodiscover/tests.py
100K	/testbed/tests/admin_changelist
0	/testbed/tests/admin_changelist/__init__.py
5.5K	/testbed/tests/admin_changelist/admin.py
3.5K	/testbed/tests/admin_changelist/models.py
4.0K	/testbed/tests/admin_changelist/test_date_hierarchy.py
82K	/testbed/tests/admin_changelist/tests.py
512	/testbed/tests/admin_changelist/urls.py
39K	/testbed/tests/admin_checks
0	/testbed/tests/admin_checks/__init__.py
2.0K	/testbed/tests/admin_checks/models.py
33K	/testbed/tests/admin_checks/tests.py
13K	/testbed/tests/admin_custom_urls
0	/testbed/tests/admin_custom_urls/__init__.py
2.5K	/testbed/tests/admin_custom_urls/models.py
6.0K	/testbed/tests/admin_custom_urls/tests.py
512	/testbed/tests/admin_custom_urls/urls.py
6.5K	/testbed/tests/admin_default_site
0	/testbed/tests/admin_default_site/__init__.py
512	/testbed/tests/admin_default_site/apps.py
512	/testbed/tests/admin_default_site/sites.py
1.5K	/testbed/tests/admin_default_site/tests.py
40K	/testbed/tests/admin_docs
0	/testbed/tests/admin_docs/__init__.py
0	/testbed/tests/admin_docs/evilfile.txt
2.5K	/testbed/tests/admin_docs/models.py
512	/testbed/tests/admin_docs/namespace_urls.py
2.5K	/testbed/tests/admin_docs/test_middleware.py
6.0K	/testbed/tests/admin_docs/test_utils.py
22K	/testbed/tests/admin_docs/test_views.py
1.0K	/testbed/tests/admin_docs/tests.py
1.0K	/testbed/tests/admin_docs/urls.py
512	/testbed/tests/admin_docs/views.py
88K	/testbed/tests/admin_filters
0	/testbed/tests/admin_filters/__init__.py
3.0K	/testbed/tests/admin_filters/models.py
81K	/testbed/tests/admin_filters/tests.py
112K	/testbed/tests/admin_inlines
0	/testbed/tests/admin_inlines/__init__.py
12K	/testbed/tests/admin_inlines/admin.py
9.5K	/testbed/tests/admin_inlines/models.py
1.0K	/testbed/tests/admin_inlines/test_templates.py
85K	/testbed/tests/admin_inlines/tests.py
512	/testbed/tests/admin_inlines/urls.py
13K	/testbed/tests/admin_ordering
0	/testbed/tests/admin_ordering/__init__.py
1.0K	/testbed/tests/admin_ordering/models.py
7.5K	/testbed/tests/admin_ordering/tests.py
10K	/testbed/tests/admin_registration
0	/testbed/tests/admin_registration/__init__.py
512	/testbed/tests/admin_registration/models.py
5.5K	/testbed/tests/admin_registration/tests.py
236K	/testbed/tests/admin_scripts
0	/testbed/tests/admin_scripts/__init__.py
9.5K	/testbed/tests/admin_scripts/another_app_waiting_migration
4.5K	/testbed/tests/admin_scripts/app_raising_messages
4.5K	/testbed/tests/admin_scripts/app_raising_warning
9.5K	/testbed/tests/admin_scripts/app_waiting_migration
4.5K	/testbed/tests/admin_scripts/app_with_import
4.5K	/testbed/tests/admin_scripts/broken_app
23K	/testbed/tests/admin_scripts/complex_app
512	/testbed/tests/admin_scripts/configured_dynamic_settings_manage.py
512	/testbed/tests/admin_scripts/configured_settings_manage.py
31K	/testbed/tests/admin_scripts/custom_templates
12K	/testbed/tests/admin_scripts/management
13K	/testbed/tests/admin_scripts/simple_app
115K	/testbed/tests/admin_scripts/tests.py
512	/testbed/tests/admin_scripts/urls.py
38K	/testbed/tests/admin_utils
0	/testbed/tests/admin_utils/__init__.py
1.5K	/testbed/tests/admin_utils/admin.py
2.0K	/testbed/tests/admin_utils/models.py
14K	/testbed/tests/admin_utils/test_logentry.py
16K	/testbed/tests/admin_utils/tests.py
512	/testbed/tests/admin_utils/urls.py
541K	/testbed/tests/admin_views
0	/testbed/tests/admin_views/__init__.py
38K	/testbed/tests/admin_views/admin.py
1.5K	/testbed/tests/admin_views/custom_has_permission_admin.py
3.0K	/testbed/tests/admin_views/customadmin.py
1.0K	/testbed/tests/admin_views/forms.py
28K	/testbed/tests/admin_views/models.py
25K	/testbed/tests/admin_views/templates
21K	/testbed/tests/admin_views/test_actions.py
4.0K	/testbed/tests/admin_views/test_adminsite.py
23K	/testbed/tests/admin_views/test_autocomplete_view.py
1.5K	/testbed/tests/admin_views/test_breadcrumbs.py
