I'll help you implement the necessary changes to add the `nonform` CSS class for non-form errors in FormSets. Let's start by exploring the repository structure to understand how forms and formsets handle error classes.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(form|error)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/test_exceptions/test_validation_error.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_a/migrations/0001_initial.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_a/migrations/0003_a3.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_a/migrations/__init__.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_a/migrations/0004_a4.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_a/migrations/0002_a2.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_a/__init__.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_a/models.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_c/migrations/0001_initial.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_c/migrations/__init__.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_c/migrations/0002_c2.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_c/migrations/0003_c3.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_c/__init__.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_c/models.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_b/migrations/0001_initial.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_b/migrations/0003_b3.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_b/migrations/__init__.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_b/migrations/0002_b2.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_b/__init__.py
/testbed/tests/migrations/migrations_test_apps/lookuperror_b/models.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -path "*/django/forms*" -type f -name "*.py" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/django/forms/fields.py
/testbed/django/forms/__init__.py
/testbed/django/forms/renderers.py
/testbed/django/forms/widgets.py
/testbed/django/forms/models.py
/testbed/django/forms/utils.py
/testbed/django/forms/boundfield.py
/testbed/django/forms/forms.py
/testbed/django/forms/formsets.py</function_results>

Great! Let's look at the Django forms structure. Let's first examine the forms module to understand how the `nonfield` CSS class is currently implemented:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/forms</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/django/forms, excluding hidden items and node_modules:
262K	/testbed/django/forms
    65	                 initial=None, error_class=ErrorList, label_suffix=None,
    66	                 empty_permitted=False, field_order=None, use_required_attribute=None, renderer=None):
    67	        self.is_bound = data is not None or files is not None
    68	        self.data = MultiValueDict() if data is None else data
    69	        self.files = MultiValueDict() if files is None else files
    70	        self.auto_id = auto_id
    71	        if prefix is not None:
    72	            self.prefix = prefix
    73	        self.initial = initial or {}
    74	        self.error_class = error_class
    75	        # Translators: This is the default suffix added to form field labels
    76	        self.label_suffix = label_suffix if label_suffix is not None else _(':')
    77	        self.empty_permitted = empty_permitted
    78	        self._errors = None  # Stores the errors after clean() has been called.
    79	
    80	        # The base_fields class attribute is the *class-wide* definition of
    81	        # fields. Because a particular *instance* of the class might want to
    82	        # alter self.fields, we create self.fields here by copying base_fields.
    83	        # Instances should always modify self.fields; they should not modify
    84	        # self.base_fields.
    85	        self.fields = copy.deepcopy(self.base_fields)
    86	        self._bound_fields_cache = {}
    87	        self.order_fields(self.field_order if field_order is None else field_order)
    88	
    89	        if use_required_attribute is not None:
    90	            self.use_required_attribute = use_required_attribute
    91	
    92	        if self.empty_permitted and self.use_required_attribute:
    93	            raise ValueError(
    94	                'The empty_permitted and use_required_attribute arguments may '
    95	                'not both be True.'
    96	            )
    97	
    98	        # Initialize form renderer. Use a global default if not specified
    99	        # either as an argument or as self.default_renderer.
   100	        if renderer is None:
   101	            if self.default_renderer is None:
   102	                renderer = get_default_renderer()
   103	            else:
   104	                renderer = self.default_renderer
   105	                if isinstance(self.default_renderer, type):
   106	                    renderer = renderer()
   107	        self.renderer = renderer
   108	
   109	    def order_fields(self, field_order):
   110	        """
   111	        Rearrange the fields according to field_order.
   112	
   113	        field_order is a list of field names specifying the order. Append fields
   114	        not included in the list in the default order for backward compatibility
   115	        with subclasses not overriding field_order. If field_order is None,
   116	        keep all fields in the order defined in the class. Ignore unknown
   117	        fields in field_order to allow disabling fields in form subclasses
   118	        without redefining ordering.
   119	        """
   120	        if field_order is None:
   121	            return
   122	        fields = {}
   123	        for key in field_order:
   124	            try:
   125	                fields[key] = self.fields.pop(key)
   126	            except KeyError:  # ignore unknown fields
   127	                pass
   128	        fields.update(self.fields)  # add remaining fields in original order
   129	        self.fields = fields
   130	
   131	    def __str__(self):
   132	        return self.as_table()
   133	
   134	    def __repr__(self):
   135	        if self._errors is None:
   136	            is_valid = "Unknown"
   137	        else:
   138	            is_valid = self.is_bound and not self._errors
   139	        return '<%(cls)s bound=%(bound)s, valid=%(valid)s, fields=(%(fields)s)>' % {
   140	            'cls': self.__class__.__name__,
   141	            'bound': self.is_bound,
   142	            'valid': is_valid,
   143	            'fields': ';'.join(self.fields),
   144	        }
   145	
   146	    def __iter__(self):
   147	        for name in self.fields:
   148	            yield self[name]
   149	
   150	    def __getitem__(self, name):
   151	        """Return a BoundField with the given name."""
   152	        try:
   153	            return self._bound_fields_cache[name]
   154	        except KeyError:
   155	            pass
   156	        try:
   157	            field = self.fields[name]
   158	        except KeyError:
   159	            raise KeyError(
   160	                "Key '%s' not found in '%s'. Choices are: %s." % (
   161	                    name,
   162	                    self.__class__.__name__,
   163	                    ', '.join(sorted(self.fields)),
   164	                )
   165	            )
   166	        bound_field = field.get_bound_field(self, name)
   167	        self._bound_fields_cache[name] = bound_field
   168	        return bound_field
   169	
   170	    @property
   171	    def errors(self):
   172	        """Return an ErrorDict for the data provided for the form."""
   173	        if self._errors is None:
   174	            self.full_clean()
   175	        return self._errors
   176	
   177	    def is_valid(self):
   178	        """Return True if the form has no errors, or False otherwise."""
   179	        return self.is_bound and not self.errors
   180	
   181	    def add_prefix(self, field_name):
   182	        """
   183	        Return the field name with a prefix appended, if this Form has a
   184	        prefix set.
   185	
   186	        Subclasses may wish to override.
   187	        """
   188	        return '%s-%s' % (self.prefix, field_name) if self.prefix else field_name
   189	
   190	    def add_initial_prefix(self, field_name):
   191	        """Add an 'initial' prefix for checking dynamic initial values."""
   192	        return 'initial-%s' % self.add_prefix(field_name)
   193	
   194	    def _widget_data_value(self, widget, html_name):
   195	        # value_from_datadict() gets the data from the data dictionaries.
   196	        # Each widget type knows how to retrieve its own data, because some
   197	        # widgets split data over several HTML fields.
   198	        return widget.value_from_datadict(self.data, self.files, html_name)
   199	
   200	    def _field_data_value(self, field, html_name):
   201	        return self._widget_data_value(field.widget, html_name)
   202	
   203	    def _html_output(self, normal_row, error_row, row_ender, help_text_html, errors_on_separate_row):
   204	        "Output HTML. Used by as_table(), as_ul(), as_p()."
   205	        # Errors that should be displayed above all fields.
   206	        top_errors = self.non_field_errors().copy()
   207	        output, hidden_fields = [], []
   208	
   209	        for name, field in self.fields.items():
   210	            html_class_attr = ''
   211	            bf = self[name]
	< truncated lines 212-296 >
   297	            help_text_html=' <span class="helptext">%s</span>',
   298	            errors_on_separate_row=False,
   299	        )
   300	
   301	    def as_p(self):
   302	        "Return this form rendered as HTML <p>s."
   303	        return self._html_output(
   304	            normal_row='<p%(html_class_attr)s>%(label)s %(field)s%(help_text)s</p>',
   305	            error_row='%s',
   306	            row_ender='</p>',
   307	            help_text_html=' <span class="helptext">%s</span>',
   308	            errors_on_separate_row=True,
   309	        )
   310	
   311	    def non_field_errors(self):
   312	        """
   313	        Return an ErrorList of errors that aren't associated with a particular
   314	        field -- i.e., from Form.clean(). Return an empty ErrorList if there
   315	        are none.
   316	        """
   317	        return self.errors.get(NON_FIELD_ERRORS, self.error_class(error_class='nonfield'))
   318	
   319	    def add_error(self, field, error):
   320	        """
   321	        Update the content of `self._errors`.
   322	
   323	        The `field` argument is the name of the field to which the errors
   324	        should be added. If it's None, treat the errors as NON_FIELD_ERRORS.
   325	
   326	        The `error` argument can be a single error, a list of errors, or a
   327	        dictionary that maps field names to lists of errors. An "error" can be
   328	        either a simple string or an instance of ValidationError with its
   329	        message attribute set and a "list or dictionary" can be an actual
   330	        `list` or `dict` or an instance of ValidationError with its
   331	        `error_list` or `error_dict` attribute set.
   332	
   333	        If `error` is a dictionary, the `field` argument *must* be None and
   334	        errors will be added to the fields that correspond to the keys of the
   335	        dictionary.
   336	        """
   337	        if not isinstance(error, ValidationError):
   338	            # Normalize to ValidationError and let its constructor
   339	            # do the hard work of making sense of the input.
   340	            error = ValidationError(error)
   341	
   342	        if hasattr(error, 'error_dict'):
   343	            if field is not None:
   344	                raise TypeError(
   345	                    "The argument `field` must be `None` when the `error` "
   346	                    "argument contains errors for multiple fields."
   347	                )
   348	            else:
   349	                error = error.error_dict
   350	        else:
   351	            error = {field or NON_FIELD_ERRORS: error.error_list}
   352	
   353	        for field, error_list in error.items():
   354	            if field not in self.errors:
   355	                if field != NON_FIELD_ERRORS and field not in self.fields:
   356	                    raise ValueError(
   357	                        "'%s' has no field named '%s'." % (self.__class__.__name__, field))
   358	                if field == NON_FIELD_ERRORS:
   359	                    self._errors[field] = self.error_class(error_class='nonfield')
   360	                else:
   361	                    self._errors[field] = self.error_class()
   362	            self._errors[field].extend(error_list)
   363	            if field in self.cleaned_data:
   364	                del self.cleaned_data[field]
   365	
   366	    def has_error(self, field, code=None):
   367	        return field in self.errors and (
   368	            code is None or
   369	            any(error.code == code for error in self.errors.as_data()[field])
   370	        )
   371	
   372	    def full_clean(self):
   373	        """
   374	        Clean all of self.data and populate self._errors and self.cleaned_data.
   375	        """
   376	        self._errors = ErrorDict()
   377	        if not self.is_bound:  # Stop further processing.
   378	            return
   379	        self.cleaned_data = {}
   380	        # If the form is permitted to be empty, and none of the form data has
   381	        # changed from the initial data, short circuit any validation.
   382	        if self.empty_permitted and not self.has_changed():
   383	            return
   384	
   385	        self._clean_fields()
   386	        self._clean_form()
   387	        self._post_clean()
   388	
   389	    def _clean_fields(self):
   390	        for name, field in self.fields.items():
   391	            if field.disabled:
   392	                value = self.get_initial_for_field(field, name)
   393	            else:
   394	                value = self._field_data_value(field, self.add_prefix(name))
   395	            try:
   396	                if isinstance(field, FileField):
   397	                    initial = self.get_initial_for_field(field, name)
   398	                    value = field.clean(value, initial)
   399	                else:
   400	                    value = field.clean(value)
   401	                self.cleaned_data[name] = value
   402	                if hasattr(self, 'clean_%s' % name):
   403	                    value = getattr(self, 'clean_%s' % name)()
   404	                    self.cleaned_data[name] = value
   405	            except ValidationError as e:
   406	                self.add_error(name, e)
   407	
   408	    def _clean_form(self):
   409	        try:
   410	            cleaned_data = self.clean()
   411	        except ValidationError as e:
   412	            self.add_error(None, e)
   413	        else:
   414	            if cleaned_data is not None:
   415	                self.cleaned_data = cleaned_data
   416	
   417	    def _post_clean(self):
   418	        """
   419	        An internal hook for performing additional cleaning after form cleaning
   420	        is complete. Used for model validation in model forms.
   421	        """
   422	        pass
   423	
   424	    def clean(self):
   425	        """
   426	        Hook for doing any extra form-wide cleaning after Field.clean() has been
   427	        called on every field. Any ValidationError raised by this method will
   428	        not be associated with a particular field; it will have a special-case
   429	        association with the field named '__all__'.
   430	        """
   431	        return self.cleaned_data
   432	
   433	    def has_changed(self):
   434	        """Return True if data differs from initial."""
   435	        return bool(self.changed_data)
   436	
   437	    @cached_property
   438	    def changed_data(self):
   439	        data = []
   440	        for name, field in self.fields.items():
   441	            data_value = self._field_data_value(field, self.add_prefix(name))
   442	            if not field.show_hidden_initial:
   443	                # Use the BoundField's initial as this is the value passed to
   444	                # the widget.
   445	                initial_value = self[name].initial
   446	            else:
   447	                initial_prefixed_name = self.add_initial_prefix(name)
   448	                hidden_widget = field.hidden_widget()
   449	                try:
   450	                    initial_value = field.to_python(
   451	                        self._widget_data_value(hidden_widget, initial_prefixed_name)
   452	                    )
   453	                except ValidationError:
   454	                    # Always assume data has changed if validation fails.
   455	                    data.append(name)
   456	                    continue
   457	            if field.has_changed(initial_value, data_value):
   458	                data.append(name)
   459	        return data
   460	
   461	    @property
   462	    def media(self):
   463	        """Return all media required to render the widgets on this form."""
   464	        media = Media()
   465	        for field in self.fields.values():
   466	            media = media + field.widget.media
   467	        return media
   468	
   469	    def is_multipart(self):
   470	        """
   471	        Return True if the form needs to be multipart-encoded, i.e. it has
   472	        FileInput, or False otherwise.
   473	        """
   474	        return any(field.widget.needs_multipart_form for field in self.fields.values())
   475	
   476	    def hidden_fields(self):
   477	        """
   478	        Return a list of all the BoundField objects that are hidden fields.
   479	        Useful for manual form layout in templates.
   480	        """
   481	        return [field for field in self if field.is_hidden]
   482	
   483	    def visible_fields(self):
   484	        """
   485	        Return a list of BoundField objects that aren't hidden fields.
   486	        The opposite of the hidden_fields() method.
   487	        """
   488	        return [field for field in self if not field.is_hidden]
   489	
   490	    def get_initial_for_field(self, field, field_name):
   491	        """
   492	        Return initial data for field on form. Use initial data from the form
   493	        or the field, in that order. Evaluate callable values.
   494	        """
   495	        value = self.initial.get(field_name, field.initial)
   496	        if callable(value):
   497	            value = value()
   498	        return value
   499	
   500	
   501	class Form(BaseForm, metaclass=DeclarativeFieldsMetaclass):
   502	    "A collection of Fields, plus their associated data."
   503	    # This is a separate class from BaseForm in order to abstract the way
   504	    # self.fields is specified. This class (Form) is the one that does the
   505	    # fancy metaclass stuff purely for the semantic sugar -- it allows one
   506	    # to define a form using declarative syntax.
   507	    # BaseForm itself has no way of designating self.fields.
   508	</function_results>

Perfect! I can see that in line 317, the `non_field_errors()` method creates an ErrorList with `error_class='nonfield'`. Now let's look at the formsets.py file to see how it handles non-form errors:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/forms/formsets.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/forms/formsets.py with line numbers:
     1	from django.core.exceptions import ValidationError
     2	from django.forms import Form
     3	from django.forms.fields import BooleanField, IntegerField
     4	from django.forms.utils import ErrorList
     5	from django.forms.widgets import HiddenInput, NumberInput
     6	from django.utils.functional import cached_property
     7	from django.utils.html import html_safe
     8	from django.utils.safestring import mark_safe
     9	from django.utils.translation import gettext_lazy as _, ngettext
    10	
    11	__all__ = ('BaseFormSet', 'formset_factory', 'all_valid')
    12	
    13	# special field names
    14	TOTAL_FORM_COUNT = 'TOTAL_FORMS'
    15	INITIAL_FORM_COUNT = 'INITIAL_FORMS'
    16	MIN_NUM_FORM_COUNT = 'MIN_NUM_FORMS'
    17	MAX_NUM_FORM_COUNT = 'MAX_NUM_FORMS'
    18	ORDERING_FIELD_NAME = 'ORDER'
    19	DELETION_FIELD_NAME = 'DELETE'
    20	
    21	# default minimum number of forms in a formset
    22	DEFAULT_MIN_NUM = 0
    23	
    24	# default maximum number of forms in a formset, to prevent memory exhaustion
    25	DEFAULT_MAX_NUM = 1000
    26	
    27	
    28	class ManagementForm(Form):
    29	    """
    30	    Keep track of how many form instances are displayed on the page. If adding
    31	    new forms via JavaScript, you should increment the count field of this form
    32	    as well.
    33	    """
    34	    def __init__(self, *args, **kwargs):
    35	        self.base_fields[TOTAL_FORM_COUNT] = IntegerField(widget=HiddenInput)
    36	        self.base_fields[INITIAL_FORM_COUNT] = IntegerField(widget=HiddenInput)
    37	        # MIN_NUM_FORM_COUNT and MAX_NUM_FORM_COUNT are output with the rest of
    38	        # the management form, but only for the convenience of client-side
    39	        # code. The POST value of them returned from the client is not checked.
    40	        self.base_fields[MIN_NUM_FORM_COUNT] = IntegerField(required=False, widget=HiddenInput)
    41	        self.base_fields[MAX_NUM_FORM_COUNT] = IntegerField(required=False, widget=HiddenInput)
    42	        super().__init__(*args, **kwargs)
    43	
    44	    def clean(self):
    45	        cleaned_data = super().clean()
    46	        # When the management form is invalid, we don't know how many forms
    47	        # were submitted.
    48	        cleaned_data.setdefault(TOTAL_FORM_COUNT, 0)
    49	        cleaned_data.setdefault(INITIAL_FORM_COUNT, 0)
    50	        return cleaned_data
    51	
    52	
    53	@html_safe
    54	class BaseFormSet:
    55	    """
    56	    A collection of instances of the same Form class.
    57	    """
    58	    ordering_widget = NumberInput
    59	    default_error_messages = {
    60	        'missing_management_form': _(
    61	            'ManagementForm data is missing or has been tampered with. Missing fields: '
    62	            '%(field_names)s. You may need to file a bug report if the issue persists.'
    63	        ),
    64	    }
    65	
    66	    def __init__(self, data=None, files=None, auto_id='id_%s', prefix=None,
    67	                 initial=None, error_class=ErrorList, form_kwargs=None,
    68	                 error_messages=None):
    69	        self.is_bound = data is not None or files is not None
    70	        self.prefix = prefix or self.get_default_prefix()
    71	        self.auto_id = auto_id
    72	        self.data = data or {}
    73	        self.files = files or {}
    74	        self.initial = initial
    75	        self.form_kwargs = form_kwargs or {}
    76	        self.error_class = error_class
    77	        self._errors = None
    78	        self._non_form_errors = None
    79	
    80	        messages = {}
    81	        for cls in reversed(type(self).__mro__):
    82	            messages.update(getattr(cls, 'default_error_messages', {}))
    83	        if error_messages is not None:
    84	            messages.update(error_messages)
    85	        self.error_messages = messages
    86	
    87	    def __str__(self):
    88	        return self.as_table()
    89	
    90	    def __iter__(self):
    91	        """Yield the forms in the order they should be rendered."""
    92	        return iter(self.forms)
    93	
    94	    def __getitem__(self, index):
    95	        """Return the form at the given index, based on the rendering order."""
    96	        return self.forms[index]
    97	
    98	    def __len__(self):
    99	        return len(self.forms)
   100	
   101	    def __bool__(self):
   102	        """
   103	        Return True since all formsets have a management form which is not
   104	        included in the length.
   105	        """
   106	        return True
   107	
   108	    @cached_property
   109	    def management_form(self):
   110	        """Return the ManagementForm instance for this FormSet."""
   111	        if self.is_bound:
   112	            form = ManagementForm(self.data, auto_id=self.auto_id, prefix=self.prefix)
   113	            form.full_clean()
   114	        else:
   115	            form = ManagementForm(auto_id=self.auto_id, prefix=self.prefix, initial={
   116	                TOTAL_FORM_COUNT: self.total_form_count(),
   117	                INITIAL_FORM_COUNT: self.initial_form_count(),
   118	                MIN_NUM_FORM_COUNT: self.min_num,
   119	                MAX_NUM_FORM_COUNT: self.max_num
   120	            })
   121	        return form
   122	
   123	    def total_form_count(self):
   124	        """Return the total number of forms in this FormSet."""
   125	        if self.is_bound:
   126	            # return absolute_max if it is lower than the actual total form
   127	            # count in the data; this is DoS protection to prevent clients
   128	            # from forcing the server to instantiate arbitrary numbers of
   129	            # forms
   130	            return min(self.management_form.cleaned_data[TOTAL_FORM_COUNT], self.absolute_max)
   131	        else:
   132	            initial_forms = self.initial_form_count()
   133	            total_forms = max(initial_forms, self.min_num) + self.extra
   134	            # Allow all existing related objects/inlines to be displayed,
   135	            # but don't allow extra beyond max_num.
   136	            if initial_forms > self.max_num >= 0:
   137	                total_forms = initial_forms
   138	            elif total_forms > self.max_num >= 0:
   139	                total_forms = self.max_num
   140	        return total_forms
   141	
   142	    def initial_form_count(self):
   143	        """Return the number of forms that are required in this FormSet."""
   144	        if self.is_bound:
   145	            return self.management_form.cleaned_data[INITIAL_FORM_COUNT]
   146	        else:
   147	            # Use the length of the initial data if it's there, 0 otherwise.
   148	            initial_forms = len(self.initial) if self.initial else 0
   149	        return initial_forms
   150	
   151	    @cached_property
   152	    def forms(self):
   153	        """Instantiate forms at first property access."""
   154	        # DoS protection is included in total_form_count()
   155	        return [
   156	            self._construct_form(i, **self.get_form_kwargs(i))
   157	            for i in range(self.total_form_count())
   158	        ]
   159	
   160	    def get_form_kwargs(self, index):
   161	        """
   162	        Return additional keyword arguments for each individual formset form.
   163	
   164	        index will be None if the form being constructed is a new empty
   165	        form.
   166	        """
   167	        return self.form_kwargs.copy()
   168	
   169	    def _construct_form(self, i, **kwargs):
   170	        """Instantiate and return the i-th form instance in a formset."""
   171	        defaults = {
   172	            'auto_id': self.auto_id,
   173	            'prefix': self.add_prefix(i),
   174	            'error_class': self.error_class,
   175	            # Don't render the HTML 'required' attribute as it may cause
   176	            # incorrect validation for extra, optional, and deleted
   177	            # forms in the formset.
   178	            'use_required_attribute': False,
   179	        }
   180	        if self.is_bound:
   181	            defaults['data'] = self.data
   182	            defaults['files'] = self.files
   183	        if self.initial and 'initial' not in kwargs:
   184	            try:
   185	                defaults['initial'] = self.initial[i]
   186	            except IndexError:
   187	                pass
   188	        # Allow extra forms to be empty, unless they're part of
   189	        # the minimum forms.
   190	        if i >= self.initial_form_count() and i >= self.min_num:
   191	            defaults['empty_permitted'] = True
   192	        defaults.update(kwargs)
   193	        form = self.form(**defaults)
   194	        self.add_fields(form, i)
   195	        return form
   196	
   197	    @property
   198	    def initial_forms(self):
   199	        """Return a list of all the initial forms in this formset."""
   200	        return self.forms[:self.initial_form_count()]
   201	
   202	    @property
   203	    def extra_forms(self):
   204	        """Return a list of all the extra forms in this formset."""
   205	        return self.forms[self.initial_form_count():]
   206	
   207	    @property
   208	    def empty_form(self):
   209	        form = self.form(
	< truncated lines 210-287 >
   288	        return cls.ordering_widget
   289	
   290	    def non_form_errors(self):
   291	        """
   292	        Return an ErrorList of errors that aren't associated with a particular
   293	        form -- i.e., from formset.clean(). Return an empty ErrorList if there
   294	        are none.
   295	        """
   296	        if self._non_form_errors is None:
   297	            self.full_clean()
   298	        return self._non_form_errors
   299	
   300	    @property
   301	    def errors(self):
   302	        """Return a list of form.errors for every form in self.forms."""
   303	        if self._errors is None:
   304	            self.full_clean()
   305	        return self._errors
   306	
   307	    def total_error_count(self):
   308	        """Return the number of errors across all forms in the formset."""
   309	        return len(self.non_form_errors()) +\
   310	            sum(len(form_errors) for form_errors in self.errors)
   311	
   312	    def _should_delete_form(self, form):
   313	        """Return whether or not the form was marked for deletion."""
   314	        return form.cleaned_data.get(DELETION_FIELD_NAME, False)
   315	
   316	    def is_valid(self):
   317	        """Return True if every form in self.forms is valid."""
   318	        if not self.is_bound:
   319	            return False
   320	        # Accessing errors triggers a full clean the first time only.
   321	        self.errors
   322	        # List comprehension ensures is_valid() is called for all forms.
