I'll help you implement the necessary changes to reduce Add/RemoveIndex migration operations when optimizing migrations. Let's start by exploring the repository structure to understand how Django handles migration operations.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(migration|index)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/custom_migration_operations/__init__.py
/testbed/tests/custom_migration_operations/more_operations.py
/testbed/tests/custom_migration_operations/operations.py
/testbed/tests/migrations/test_migrations_plan/0003_third.py
/testbed/tests/migrations/test_migrations_plan/0001_initial.py
/testbed/tests/migrations/test_migrations_plan/__init__.py
/testbed/tests/migrations/test_migrations_plan/0002_second.py
/testbed/tests/migrations/test_migrations_plan/0004_fourth.py
/testbed/tests/migrations/test_migrations_plan/0005_fifth.py
/testbed/tests/migrations/test_migrations_empty/__init__.py
/testbed/tests/migrations/test_migrations_clashing_prefix/__init__.py
/testbed/tests/migrations/test_migrations_clashing_prefix/ab.py
/testbed/tests/migrations/test_migrations_clashing_prefix/a.py
/testbed/tests/migrations/test_multidb.py
/testbed/tests/migrations/test_migrations_squashed_extra/0003_third.py
/testbed/tests/migrations/test_migrations_squashed_extra/0001_initial.py
/testbed/tests/migrations/test_migrations_squashed_extra/__init__.py
/testbed/tests/migrations/test_migrations_squashed_extra/0001_squashed_0002.py
/testbed/tests/migrations/test_migrations_squashed_extra/0002_second.py
/testbed/tests/migrations/test_executor.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -path "*/migrations/*" -name "*.py" | grep -E "(operation|optimizer)" | head -10</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/migrations/test_operations.py
/testbed/tests/migrations/test_migrations_atomic_operation/0001_initial.py
/testbed/tests/migrations/test_migrations_atomic_operation/__init__.py
/testbed/tests/migrations/test_optimizer.py
/testbed/tests/migrations/test_migrations_no_operations/0001_initial.py
/testbed/tests/migrations/test_migrations_no_operations/__init__.py
/testbed/django/db/migrations/optimizer.py
/testbed/django/db/migrations/operations/fields.py
/testbed/django/db/migrations/operations/__init__.py
/testbed/django/db/migrations/operations/base.py</function_results>

Let's look at the Django migrations structure:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/django/db/migrations, excluding hidden items and node_modules:
302K	/testbed/django/db/migrations
    40	    def optimize_inner(self, operations, app_label):
    41	        """Inner optimization loop."""
    42	        new_operations = []
    43	        for i, operation in enumerate(operations):
    44	            right = True  # Should we reduce on the right or on the left.
    45	            # Compare it to each operation after it
    46	            for j, other in enumerate(operations[i + 1 :]):
    47	                result = operation.reduce(other, app_label)
    48	                if isinstance(result, list):
    49	                    in_between = operations[i + 1 : i + j + 1]
    50	                    if right:
    51	                        new_operations.extend(in_between)
    52	                        new_operations.extend(result)
    53	                    elif all(op.reduce(other, app_label) is True for op in in_between):
    54	                        # Perform a left reduction if all of the in-between
    55	                        # operations can optimize through other.
    56	                        new_operations.extend(result)
    57	                        new_operations.extend(in_between)
    58	                    else:
    59	                        # Otherwise keep trying.
    60	                        new_operations.append(operation)
    61	                        break
    62	                    new_operations.extend(operations[i + j + 2 :])
    63	                    return new_operations
    64	                elif not result:
    65	                    # Can't perform a right reduction.
    66	                    right = False
    67	            else:
    68	                new_operations.append(operation)
    69	        return new_operations
    70	</function_results>

Now let's look at the operations to understand what AddIndex and RemoveIndex operations look like:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations/operations</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/django/db/migrations/operations, excluding hidden items and node_modules:
70K	/testbed/django/db/migrations/operations
1.0K	/testbed/django/db/migrations/operations/__init__.py
5.0K	/testbed/django/db/migrations/operations/base.py
13K	/testbed/django/db/migrations/operations/fields.py
40K	/testbed/django/db/migrations/operations/models.py
8.0K	/testbed/django/db/migrations/operations/special.py
</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations/operations/__init__.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/db/migrations/operations/__init__.py with line numbers:
     1	from .fields import AddField, AlterField, RemoveField, RenameField
     2	from .models import (
     3	    AddConstraint,
     4	    AddIndex,
     5	    AlterIndexTogether,
     6	    AlterModelManagers,
     7	    AlterModelOptions,
     8	    AlterModelTable,
     9	    AlterModelTableComment,
    10	    AlterOrderWithRespectTo,
    11	    AlterUniqueTogether,
    12	    CreateModel,
    13	    DeleteModel,
    14	    RemoveConstraint,
    15	    RemoveIndex,
    16	    RenameIndex,
    17	    RenameModel,
    18	)
    19	from .special import RunPython, RunSQL, SeparateDatabaseAndState
    20	
    21	__all__ = [
    22	    "CreateModel",
    23	    "DeleteModel",
    24	    "AlterModelTable",
    25	    "AlterModelTableComment",
    26	    "AlterUniqueTogether",
    27	    "RenameModel",
    28	    "AlterIndexTogether",
    29	    "AlterModelOptions",
    30	    "AddIndex",
    31	    "RemoveIndex",
    32	    "RenameIndex",
    33	    "AddField",
    34	    "RemoveField",
    35	    "AlterField",
    36	    "RenameField",
    37	    "AddConstraint",
    38	    "RemoveConstraint",
    39	    "SeparateDatabaseAndState",
    40	    "RunSQL",
    41	    "RunPython",
    42	    "AlterOrderWithRespectTo",
    43	    "AlterModelManagers",
    44	]
    45	</function_results>

Let's look at the models.py file where AddIndex and RemoveIndex are defined:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -n "class.*Index" /testbed/django/db/migrations/operations/models.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>639:class AlterIndexTogether(AlterTogetherOptionOperation):
803:class IndexOperation(Operation):
811:class AddIndex(IndexOperation):
865:class RemoveIndex(IndexOperation):
908:class RenameIndex(IndexOperation):
1057:class AddConstraint(IndexOperation):
1098:class RemoveConstraint(IndexOperation):</function_results>

Let's examine the AddIndex and RemoveIndex operations:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations/operations/models.py</antml:parameter>
<antml:parameter name="view_range">[803, 920]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/db/migrations/operations/models.py with line numbers (which has a total of 1138 lines) with view_range=[803, 920]:
   803	class IndexOperation(Operation):
   804	    option_name = "indexes"
   805	
   806	    @cached_property
   807	    def model_name_lower(self):
   808	        return self.model_name.lower()
   809	
   810	
   811	class AddIndex(IndexOperation):
   812	    """Add an index on a model."""
   813	
   814	    def __init__(self, model_name, index):
   815	        self.model_name = model_name
   816	        if not index.name:
   817	            raise ValueError(
   818	                "Indexes passed to AddIndex operations require a name "
   819	                "argument. %r doesn't have one." % index
   820	            )
   821	        self.index = index
   822	
   823	    def state_forwards(self, app_label, state):
   824	        state.add_index(app_label, self.model_name_lower, self.index)
   825	
   826	    def database_forwards(self, app_label, schema_editor, from_state, to_state):
   827	        model = to_state.apps.get_model(app_label, self.model_name)
   828	        if self.allow_migrate_model(schema_editor.connection.alias, model):
   829	            schema_editor.add_index(model, self.index)
   830	
   831	    def database_backwards(self, app_label, schema_editor, from_state, to_state):
   832	        model = from_state.apps.get_model(app_label, self.model_name)
   833	        if self.allow_migrate_model(schema_editor.connection.alias, model):
   834	            schema_editor.remove_index(model, self.index)
   835	
   836	    def deconstruct(self):
   837	        kwargs = {
   838	            "model_name": self.model_name,
   839	            "index": self.index,
   840	        }
   841	        return (
   842	            self.__class__.__qualname__,
   843	            [],
   844	            kwargs,
   845	        )
   846	
   847	    def describe(self):
   848	        if self.index.expressions:
   849	            return "Create index %s on %s on model %s" % (
   850	                self.index.name,
   851	                ", ".join([str(expression) for expression in self.index.expressions]),
   852	                self.model_name,
   853	            )
   854	        return "Create index %s on field(s) %s of model %s" % (
   855	            self.index.name,
   856	            ", ".join(self.index.fields),
   857	            self.model_name,
   858	        )
   859	
   860	    @property
   861	    def migration_name_fragment(self):
   862	        return "%s_%s" % (self.model_name_lower, self.index.name.lower())
   863	
   864	
   865	class RemoveIndex(IndexOperation):
   866	    """Remove an index from a model."""
   867	
   868	    def __init__(self, model_name, name):
   869	        self.model_name = model_name
   870	        self.name = name
   871	
   872	    def state_forwards(self, app_label, state):
   873	        state.remove_index(app_label, self.model_name_lower, self.name)
   874	
   875	    def database_forwards(self, app_label, schema_editor, from_state, to_state):
   876	        model = from_state.apps.get_model(app_label, self.model_name)
   877	        if self.allow_migrate_model(schema_editor.connection.alias, model):
   878	            from_model_state = from_state.models[app_label, self.model_name_lower]
   879	            index = from_model_state.get_index_by_name(self.name)
   880	            schema_editor.remove_index(model, index)
   881	
   882	    def database_backwards(self, app_label, schema_editor, from_state, to_state):
   883	        model = to_state.apps.get_model(app_label, self.model_name)
   884	        if self.allow_migrate_model(schema_editor.connection.alias, model):
   885	            to_model_state = to_state.models[app_label, self.model_name_lower]
   886	            index = to_model_state.get_index_by_name(self.name)
   887	            schema_editor.add_index(model, index)
   888	
   889	    def deconstruct(self):
   890	        kwargs = {
   891	            "model_name": self.model_name,
   892	            "name": self.name,
   893	        }
   894	        return (
   895	            self.__class__.__qualname__,
   896	            [],
   897	            kwargs,
   898	        )
   899	
   900	    def describe(self):
   901	        return "Remove index %s from %s" % (self.name, self.model_name)
   902	
   903	    @property
   904	    def migration_name_fragment(self):
   905	        return "remove_%s_%s" % (self.model_name_lower, self.name.lower())
   906	
   907	
   908	class RenameIndex(IndexOperation):
   909	    """Rename an index."""
   910	
   911	    def __init__(self, model_name, new_name, old_name=None, old_fields=None):
   912	        if not old_name and not old_fields:
   913	            raise ValueError(
   914	                "RenameIndex requires one of old_name and old_fields arguments to be "
   915	                "set."
   916	            )
   917	        if old_name and old_fields:
   918	            raise ValueError(
   919	                "RenameIndex.old_name and old_fields are mutually exclusive."
   920	            )
</function_results>

Now let's look at the base Operation class to understand the `reduce` method:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/db/migrations/operations/base.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/db/migrations/operations/base.py with line numbers:
     1	from django.db import router
     2	
     3	
     4	class Operation:
     5	    """
     6	    Base class for migration operations.
     7	
     8	    It's responsible for both mutating the in-memory model state
     9	    (see db/migrations/state.py) to represent what it performs, as well
    10	    as actually performing it against a live database.
    11	
    12	    Note that some operations won't modify memory state at all (e.g. data
    13	    copying operations), and some will need their modifications to be
    14	    optionally specified by the user (e.g. custom Python code snippets)
    15	
    16	    Due to the way this class deals with deconstruction, it should be
    17	    considered immutable.
    18	    """
    19	
    20	    # If this migration can be run in reverse.
    21	    # Some operations are impossible to reverse, like deleting data.
    22	    reversible = True
    23	
    24	    # Can this migration be represented as SQL? (things like RunPython cannot)
    25	    reduces_to_sql = True
    26	
    27	    # Should this operation be forced as atomic even on backends with no
    28	    # DDL transaction support (i.e., does it have no DDL, like RunPython)
    29	    atomic = False
    30	
    31	    # Should this operation be considered safe to elide and optimize across?
    32	    elidable = False
    33	
    34	    serialization_expand_args = []
    35	
    36	    def __new__(cls, *args, **kwargs):
    37	        # We capture the arguments to make returning them trivial
    38	        self = object.__new__(cls)
    39	        self._constructor_args = (args, kwargs)
    40	        return self
    41	
    42	    def deconstruct(self):
    43	        """
    44	        Return a 3-tuple of class import path (or just name if it lives
    45	        under django.db.migrations), positional arguments, and keyword
    46	        arguments.
    47	        """
    48	        return (
    49	            self.__class__.__name__,
    50	            self._constructor_args[0],
    51	            self._constructor_args[1],
    52	        )
    53	
    54	    def state_forwards(self, app_label, state):
    55	        """
    56	        Take the state from the previous migration, and mutate it
    57	        so that it matches what this migration would perform.
    58	        """
    59	        raise NotImplementedError(
    60	            "subclasses of Operation must provide a state_forwards() method"
    61	        )
    62	
    63	    def database_forwards(self, app_label, schema_editor, from_state, to_state):
    64	        """
    65	        Perform the mutation on the database schema in the normal
    66	        (forwards) direction.
    67	        """
    68	        raise NotImplementedError(
    69	            "subclasses of Operation must provide a database_forwards() method"
    70	        )
    71	
    72	    def database_backwards(self, app_label, schema_editor, from_state, to_state):
    73	        """
    74	        Perform the mutation on the database schema in the reverse
    75	        direction - e.g. if this were CreateModel, it would in fact
    76	        drop the model's table.
    77	        """
    78	        raise NotImplementedError(
    79	            "subclasses of Operation must provide a database_backwards() method"
    80	        )
    81	
    82	    def describe(self):
    83	        """
    84	        Output a brief summary of what the action does.
    85	        """
    86	        return "%s: %s" % (self.__class__.__name__, self._constructor_args)
    87	
    88	    @property
    89	    def migration_name_fragment(self):
    90	        """
    91	        A filename part suitable for automatically naming a migration
    92	        containing this operation, or None if not applicable.
    93	        """
    94	        return None
    95	
    96	    def references_model(self, name, app_label):
    97	        """
    98	        Return True if there is a chance this operation references the given
    99	        model name (as a string), with an app label for accuracy.
   100	
   101	        Used for optimization. If in doubt, return True;
   102	        returning a false positive will merely make the optimizer a little
   103	        less efficient, while returning a false negative may result in an
   104	        unusable optimized migration.
   105	        """
   106	        return True
   107	
   108	    def references_field(self, model_name, name, app_label):
   109	        """
   110	        Return True if there is a chance this operation references the given
   111	        field name, with an app label for accuracy.
   112	
   113	        Used for optimization. If in doubt, return True.
   114	        """
   115	        return self.references_model(model_name, app_label)
   116	
   117	    def allow_migrate_model(self, connection_alias, model):
   118	        """
   119	        Return whether or not a model may be migrated.
   120	
   121	        This is a thin wrapper around router.allow_migrate_model() that
   122	        preemptively rejects any proxy, swapped out, or unmanaged model.
   123	        """
   124	        if not model._meta.can_migrate(connection_alias):
   125	            return False
   126	
   127	        return router.allow_migrate_model(connection_alias, model)
   128	
   129	    def reduce(self, operation, app_label):
   130	        """
   131	        Return either a list of operations the actual operation should be
   132	        replaced with or a boolean that indicates whether or not the specified
   133	        operation can be optimized across.
   134	        """
   135	        if self.elidable:
   136	            return [operation]
   137	        elif operation.elidable:
   138	            return [self]
   139	        return False
   140	
   141	    def __repr__(self):
   142	        return "<%s %s%s>" % (
   143	            self.__class__.__name__,
   144	            ", ".join(map(repr, self._constructor_args[0])),
   145	            ",".join(" %s=%r" % x for x in self._constructor_args[1].items()),
   146	        )
   147	</function_results>

Now let's look at the existing tests to understand how optimization works and what we need to implement:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/tests/migrations/test_optimizer.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/tests/migrations/test_optimizer.py with line numbers:
     1	from django.db import migrations, models
     2	from django.db.migrations import operations
     3	from django.db.migrations.optimizer import MigrationOptimizer
     4	from django.db.migrations.serializer import serializer_factory
     5	from django.test import SimpleTestCase
     6	
     7	from .models import EmptyManager, UnicodeModel
     8	
     9	
    10	class OptimizerTests(SimpleTestCase):
    11	    """
    12	    Tests the migration autodetector.
    13	    """
    14	
    15	    def optimize(self, operations, app_label):
    16	        """
    17	        Handy shortcut for getting results + number of loops
    18	        """
    19	        optimizer = MigrationOptimizer()
    20	        return optimizer.optimize(operations, app_label), optimizer._iterations
    21	
    22	    def serialize(self, value):
    23	        return serializer_factory(value).serialize()[0]
    24	
    25	    def assertOptimizesTo(
    26	        self, operations, expected, exact=None, less_than=None, app_label=None
    27	    ):
    28	        result, iterations = self.optimize(operations, app_label or "migrations")
    29	        result = [self.serialize(f) for f in result]
    30	        expected = [self.serialize(f) for f in expected]
    31	        self.assertEqual(expected, result)
    32	        if exact is not None and iterations != exact:
    33	            raise self.failureException(
    34	                "Optimization did not take exactly %s iterations (it took %s)"
    35	                % (exact, iterations)
    36	            )
    37	        if less_than is not None and iterations >= less_than:
    38	            raise self.failureException(
    39	                "Optimization did not take less than %s iterations (it took %s)"
    40	                % (less_than, iterations)
    41	            )
    42	
    43	    def assertDoesNotOptimize(self, operations, **kwargs):
    44	        self.assertOptimizesTo(operations, operations, **kwargs)
    45	
    46	    def test_none_app_label(self):
    47	        optimizer = MigrationOptimizer()
    48	        with self.assertRaisesMessage(TypeError, "app_label must be a str"):
    49	            optimizer.optimize([], None)
    50	
    51	    def test_single(self):
    52	        """
    53	        The optimizer does nothing on a single operation,
    54	        and that it does it in just one pass.
    55	        """
    56	        self.assertOptimizesTo(
    57	            [migrations.DeleteModel("Foo")],
    58	            [migrations.DeleteModel("Foo")],
    59	            exact=1,
    60	        )
    61	
    62	    def test_create_delete_model(self):
    63	        """
    64	        CreateModel and DeleteModel should collapse into nothing.
    65	        """
    66	        self.assertOptimizesTo(
    67	            [
    68	                migrations.CreateModel(
    69	                    "Foo", [("name", models.CharField(max_length=255))]
    70	                ),
    71	                migrations.DeleteModel("Foo"),
    72	            ],
    73	            [],
    74	        )
    75	
    76	    def test_create_rename_model(self):
    77	        """
    78	        CreateModel should absorb RenameModels.
    79	        """
    80	        managers = [("objects", EmptyManager())]
    81	        self.assertOptimizesTo(
    82	            [
    83	                migrations.CreateModel(
    84	                    name="Foo",
    85	                    fields=[("name", models.CharField(max_length=255))],
    86	                    options={"verbose_name": "Foo"},
    87	                    bases=(UnicodeModel,),
    88	                    managers=managers,
    89	                ),
    90	                migrations.RenameModel("Foo", "Bar"),
    91	            ],
    92	            [
    93	                migrations.CreateModel(
    94	                    "Bar",
    95	                    [("name", models.CharField(max_length=255))],
    96	                    options={"verbose_name": "Foo"},
    97	                    bases=(UnicodeModel,),
    98	                    managers=managers,
    99	                )
   100	            ],
   101	        )
   102	
   103	    def test_rename_model_self(self):
   104	        """
   105	        RenameModels should absorb themselves.
   106	        """
   107	        self.assertOptimizesTo(
   108	            [
   109	                migrations.RenameModel("Foo", "Baa"),
   110	                migrations.RenameModel("Baa", "Bar"),
   111	            ],
   112	            [
   113	                migrations.RenameModel("Foo", "Bar"),
   114	            ],
   115	        )
   116	
   117	    def test_create_alter_model_options(self):
   118	        self.assertOptimizesTo(
   119	            [
   120	                migrations.CreateModel("Foo", fields=[]),
   121	                migrations.AlterModelOptions(
   122	                    name="Foo", options={"verbose_name_plural": "Foozes"}
   123	                ),
   124	            ],
   125	            [
   126	                migrations.CreateModel(
   127	                    "Foo", fields=[], options={"verbose_name_plural": "Foozes"}
   128	                ),
   129	            ],
   130	        )
   131	
   132	    def test_create_alter_model_managers(self):
   133	        self.assertOptimizesTo(
   134	            [
   135	                migrations.CreateModel("Foo", fields=[]),
   136	                migrations.AlterModelManagers(
   137	                    name="Foo",
   138	                    managers=[
   139	                        ("objects", models.Manager()),
   140	                        ("things", models.Manager()),
   141	                    ],
   142	                ),
   143	            ],
   144	            [
   145	                migrations.CreateModel(
   146	                    "Foo",
   147	                    fields=[],
   148	                    managers=[
   149	                        ("objects", models.Manager()),
   150	                        ("things", models.Manager()),
   151	                    ],
   152	                ),
   153	            ],
   154	        )
   155	
   156	    def test_create_model_and_remove_model_options(self):
   157	        self.assertOptimizesTo(
   158	            [
   159	                migrations.CreateModel(
   160	                    "MyModel",
   161	                    fields=[],
   162	                    options={"verbose_name": "My Model"},
   163	                ),
   164	                migrations.AlterModelOptions("MyModel", options={}),
   165	            ],
   166	            [migrations.CreateModel("MyModel", fields=[])],
   167	        )
   168	        self.assertOptimizesTo(
   169	            [
   170	                migrations.CreateModel(
   171	                    "MyModel",
   172	                    fields=[],
   173	                    options={
   174	                        "verbose_name": "My Model",
   175	                        "verbose_name_plural": "My Model plural",
   176	                    },
   177	                ),
   178	                migrations.AlterModelOptions(
   179	                    "MyModel",
   180	                    options={"verbose_name": "My Model"},
   181	                ),
   182	            ],
   183	            [
   184	                migrations.CreateModel(
   185	                    "MyModel",
   186	                    fields=[],
   187	                    options={"verbose_name": "My Model"},
   188	                ),
   189	            ],
   190	        )
   191	
   192	    def _test_create_alter_foo_delete_model(self, alter_foo):
   193	        """
   194	        CreateModel, AlterModelTable, AlterUniqueTogether/AlterIndexTogether/
   195	        AlterOrderWithRespectTo, and DeleteModel should collapse into nothing.
   196	        """
   197	        self.assertOptimizesTo(
   198	            [
   199	                migrations.CreateModel(
   200	                    "Foo", [("name", models.CharField(max_length=255))]
   201	                ),
   202	                migrations.AlterModelTable("Foo", "woohoo"),
   203	                alter_foo,
   204	                migrations.DeleteModel("Foo"),
   205	            ],
   206	            [],
   207	        )
   208	
   209	    def test_create_alter_unique_delete_model(self):
   210	        self._test_create_alter_foo_delete_model(
   211	            migrations.AlterUniqueTogether("Foo", [["a", "b"]])
   212	        )
   213	
   214	    def test_create_alter_index_delete_model(self):
   215	        self._test_create_alter_foo_delete_model(
   216	            migrations.AlterIndexTogether("Foo", [["a", "b"]])
   217	        )
   218	
   219	    def test_create_alter_owrt_delete_model(self):
   220	        self._test_create_alter_foo_delete_model(
   221	            migrations.AlterOrderWithRespectTo("Foo", "a")
   222	        )
   223	
   224	    def _test_alter_alter(self, alter_foo, alter_bar):
   225	        """
   226	        Two AlterUniqueTogether/AlterIndexTogether/AlterOrderWithRespectTo
   227	        /AlterField should collapse into the second.
   228	        """
   229	        self.assertOptimizesTo(
   230	            [
   231	                alter_foo,
   232	                alter_bar,
   233	            ],
   234	            [
   235	                alter_bar,
   236	            ],
   237	        )
   238	
   239	    def test_alter_alter_table_model(self):
   240	        self._test_alter_alter(
   241	            migrations.AlterModelTable("Foo", "a"),
   242	            migrations.AlterModelTable("Foo", "b"),
   243	        )
   244	
   245	    def test_alter_alter_unique_model(self):
   246	        self._test_alter_alter(
   247	            migrations.AlterUniqueTogether("Foo", [["a", "b"]]),
   248	            migrations.AlterUniqueTogether("Foo", [["a", "c"]]),
   249	        )
   250	
	< truncated lines 251-911 >
   912	                ),
   913	            ],
   914	        )
   915	
   916	        # RenameField
   917	        if isinstance(option_value, str):
   918	            renamed_options = {alter.option_name: "c"}
   919	        else:
   920	            renamed_options = {
   921	                alter.option_name: {
   922	                    tuple("c" if value == "b" else value for value in item)
   923	                    for item in option_value
   924	                }
   925	            }
   926	        self.assertOptimizesTo(
   927	            [
   928	                migrations.CreateModel(
   929	                    "Foo",
   930	                    [
   931	                        ("a", models.IntegerField()),
   932	                        ("b", models.IntegerField()),
   933	                    ],
   934	                ),
   935	                alter,
   936	                migrations.RenameField("Foo", "b", "c"),
   937	            ],
   938	            [
   939	                migrations.CreateModel(
   940	                    "Foo",
   941	                    [
