I'll start by exploring the repository structure to understand how the SI unit system and dimension handling works.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(units|dimension)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sympy/core/tests/test_multidimensional.py
/testbed/sympy/core/multidimensional.py
/testbed/sympy/physics/units/unitsystem.py
/testbed/sympy/physics/units/__init__.py
/testbed/sympy/physics/units/tests/__init__.py
/testbed/sympy/physics/units/tests/test_quantities.py
/testbed/sympy/physics/units/tests/test_prefixes.py
/testbed/sympy/physics/units/tests/test_util.py
/testbed/sympy/physics/units/tests/test_unitsystem.py
/testbed/sympy/physics/units/tests/test_dimensionsystem.py
/testbed/sympy/physics/units/tests/test_unit_system_cgs_gauss.py
/testbed/sympy/physics/units/tests/test_dimensions.py
/testbed/sympy/physics/units/dimensions.py
/testbed/sympy/physics/units/definitions/__init__.py
/testbed/sympy/physics/units/definitions/dimension_definitions.py
/testbed/sympy/physics/units/definitions/unit_definitions.py
/testbed/sympy/physics/units/quantities.py
/testbed/sympy/physics/units/systems/cgs.py
/testbed/sympy/physics/units/systems/__init__.py
/testbed/sympy/physics/units/systems/mksa.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "si\.py"</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sympy/physics/units/systems/si.py</function_results>

Let's look at the SI system implementation:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sympy/physics/units/systems</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sympy/physics/units/systems, excluding hidden items and node_modules:
35K	/testbed/sympy/physics/units/systems
    29	    stefan_boltzmann_constant, Da, atomic_mass_constant, molar_gas_constant,
    30	    faraday_constant, josephson_constant, von_klitzing_constant,
    31	    acceleration_due_to_gravity, magnetic_constant, vacuum_permittivity,
    32	    vacuum_impedance, coulomb_constant, atmosphere, bar, pound, psi, mmHg,
    33	    milli_mass_unit, quart, lightyear, astronomical_unit, planck_mass,
    34	    planck_time, planck_temperature, planck_length, planck_charge, planck_area,
    35	    planck_volume, planck_momentum, planck_energy, planck_force, planck_power,
    36	    planck_density, planck_energy_density, planck_intensity,
    37	    planck_angular_frequency, planck_pressure, planck_current, planck_voltage,
    38	    planck_impedance, planck_acceleration, bit, byte, kibibyte, mebibyte,
    39	    gibibyte, tebibyte, pebibyte, exbibyte, curie, rutherford, radian, degree,
    40	    steradian, angular_mil, atomic_mass_unit, gee, kPa, ampere, u0, c, kelvin,
    41	    mol, mole, candela, m, kg, s, electric_constant, G, boltzmann
    42	)
    43	from sympy.physics.units.prefixes import PREFIXES, prefix_unit
    44	from sympy.physics.units.systems.mksa import MKSA, dimsys_MKSA
    45	
    46	derived_dims = (frequency, force, pressure, energy, power, charge, voltage,
    47	                capacitance, conductance, magnetic_flux,
    48	                magnetic_density, inductance, luminous_intensity)
    49	base_dims = (amount_of_substance, luminous_intensity, temperature)
    50	
    51	units = [mol, cd, K, lux, hertz, newton, pascal, joule, watt, coulomb, volt,
    52	        farad, ohm, siemens, weber, tesla, henry, candela, lux, becquerel,
    53	        gray, katal]
    54	
    55	all_units = []  # type: List[Quantity]
    56	for u in units:
    57	    all_units.extend(prefix_unit(u, PREFIXES))
    58	
    59	all_units.extend(units)
    60	all_units.extend([mol, cd, K, lux])
    61	
    62	
    63	dimsys_SI = dimsys_MKSA.extend(
    64	    [
    65	        # Dimensional dependencies for other base dimensions:
    66	        temperature,
    67	        amount_of_substance,
    68	        luminous_intensity,
    69	    ])
    70	
    71	dimsys_default = dimsys_SI.extend(
    72	    [information],
    73	)
    74	
    75	SI = MKSA.extend(base=(mol, cd, K), units=all_units, name='SI', dimension_system=dimsys_SI, derived_units={
    76	    power: watt,
    77	    magnetic_flux: weber,
    78	    time: second,
    79	    impedance: ohm,
    80	    pressure: pascal,
    81	    current: ampere,
    82	    voltage: volt,
    83	    length: meter,
    84	    frequency: hertz,
    85	    inductance: henry,
    86	    temperature: kelvin,
    87	    amount_of_substance: mole,
    88	    luminous_intensity: candela,
    89	    conductance: siemens,
    90	    mass: kilogram,
    91	    magnetic_density: tesla,
    92	    charge: coulomb,
    93	    force: newton,
    94	    capacitance: farad,
    95	    energy: joule,
    96	    velocity: meter/second,
    97	})
    98	
    99	One = S.One
   100	
   101	SI.set_quantity_dimension(radian, One)
   102	
   103	SI.set_quantity_scale_factor(ampere, One)
   104	
   105	SI.set_quantity_scale_factor(kelvin, One)
   106	
   107	SI.set_quantity_scale_factor(mole, One)
   108	
   109	SI.set_quantity_scale_factor(candela, One)
   110	
   111	# MKSA extension to MKS: derived units
   112	
   113	SI.set_quantity_scale_factor(coulomb, One)
   114	
   115	SI.set_quantity_scale_factor(volt, joule/coulomb)
   116	
   117	SI.set_quantity_scale_factor(ohm, volt/ampere)
   118	
   119	SI.set_quantity_scale_factor(siemens, ampere/volt)
   120	
   121	SI.set_quantity_scale_factor(farad, coulomb/volt)
   122	
   123	SI.set_quantity_scale_factor(henry, volt*second/ampere)
   124	
   125	SI.set_quantity_scale_factor(tesla, volt*second/meter**2)
   126	
   127	SI.set_quantity_scale_factor(weber, joule/ampere)
   128	
   129	
   130	SI.set_quantity_dimension(lux, luminous_intensity / length ** 2)
   131	SI.set_quantity_scale_factor(lux, steradian*candela/meter**2)
   132	
   133	# katal is the SI unit of catalytic activity
   134	
   135	SI.set_quantity_dimension(katal, amount_of_substance / time)
   136	SI.set_quantity_scale_factor(katal, mol/second)
   137	
   138	# gray is the SI unit of absorbed dose
   139	
   140	SI.set_quantity_dimension(gray, energy / mass)
   141	SI.set_quantity_scale_factor(gray, meter**2/second**2)
   142	
   143	# becquerel is the SI unit of radioactivity
   144	
   145	SI.set_quantity_dimension(becquerel, 1 / time)
   146	SI.set_quantity_scale_factor(becquerel, 1/second)
   147	
   148	#### CONSTANTS ####
   149	
   150	# elementary charge
   151	# REF: NIST SP 959 (June 2019)
   152	
   153	SI.set_quantity_dimension(elementary_charge, charge)
   154	SI.set_quantity_scale_factor(elementary_charge, 1.602176634e-19*coulomb)
   155	
   156	# Electronvolt
   157	# REF: NIST SP 959 (June 2019)
   158	
   159	SI.set_quantity_dimension(electronvolt, energy)
   160	SI.set_quantity_scale_factor(electronvolt, 1.602176634e-19*joule)
   161	
   162	# Avogadro number
   163	# REF: NIST SP 959 (June 2019)
   164	
   165	SI.set_quantity_dimension(avogadro_number, One)
   166	SI.set_quantity_scale_factor(avogadro_number, 6.02214076e23)
   167	
   168	# Avogadro constant
   169	
   170	SI.set_quantity_dimension(avogadro_constant, amount_of_substance ** -1)
   171	SI.set_quantity_scale_factor(avogadro_constant, avogadro_number / mol)
   172	
   173	# Boltzmann constant
   174	# REF: NIST SP 959 (June 2019)
   175	
   176	SI.set_quantity_dimension(boltzmann_constant, energy / temperature)
   177	SI.set_quantity_scale_factor(boltzmann_constant, 1.380649e-23*joule/kelvin)
   178	
   179	# Stefan-Boltzmann constant
   180	# REF: NIST SP 959 (June 2019)
   181	
   182	SI.set_quantity_dimension(stefan_boltzmann_constant, energy * time ** -1 * length ** -2 * temperature ** -4)
   183	SI.set_quantity_scale_factor(stefan_boltzmann_constant, pi**2 * boltzmann_constant**4 / (60 * hbar**3 * speed_of_light ** 2))
   184	
   185	# Atomic mass
   186	# REF: NIST SP 959 (June 2019)
   187	
   188	SI.set_quantity_dimension(atomic_mass_constant, mass)
   189	SI.set_quantity_scale_factor(atomic_mass_constant, 1.66053906660e-24*gram)
   190	
   191	# Molar gas constant
   192	# REF: NIST SP 959 (June 2019)
   193	
   194	SI.set_quantity_dimension(molar_gas_constant, energy / (temperature * amount_of_substance))
   195	SI.set_quantity_scale_factor(molar_gas_constant, boltzmann_constant * avogadro_constant)
   196	
   197	# Faraday constant
   198	
   199	SI.set_quantity_dimension(faraday_constant, charge / amount_of_substance)
   200	SI.set_quantity_scale_factor(faraday_constant, elementary_charge * avogadro_constant)
   201	
   202	# Josephson constant
   203	
   204	SI.set_quantity_dimension(josephson_constant, frequency / voltage)
   205	SI.set_quantity_scale_factor(josephson_constant, 0.5 * planck / elementary_charge)
   206	
   207	# Von Klitzing constant
   208	
   209	SI.set_quantity_dimension(von_klitzing_constant, voltage / current)
   210	SI.set_quantity_scale_factor(von_klitzing_constant, hbar / elementary_charge ** 2)
   211	
   212	# Acceleration due to gravity (on the Earth surface)
   213	
   214	SI.set_quantity_dimension(acceleration_due_to_gravity, acceleration)
   215	SI.set_quantity_scale_factor(acceleration_due_to_gravity, 9.80665*meter/second**2)
   216	
   217	# magnetic constant:
   218	
   219	SI.set_quantity_dimension(magnetic_constant, force / current ** 2)
   220	SI.set_quantity_scale_factor(magnetic_constant, 4*pi/10**7 * newton/ampere**2)
   221	
   222	# electric constant:
   223	
   224	SI.set_quantity_dimension(vacuum_permittivity, capacitance / length)
   225	SI.set_quantity_scale_factor(vacuum_permittivity, 1/(u0 * c**2))
   226	
   227	# vacuum impedance:
   228	
   229	SI.set_quantity_dimension(vacuum_impedance, impedance)
   230	SI.set_quantity_scale_factor(vacuum_impedance, u0 * c)
   231	
   232	# Coulomb's constant:
   233	SI.set_quantity_dimension(coulomb_constant, force * length ** 2 / charge ** 2)
   234	SI.set_quantity_scale_factor(coulomb_constant, 1/(4*pi*vacuum_permittivity))
   235	
   236	SI.set_quantity_dimension(psi, pressure)
   237	SI.set_quantity_scale_factor(psi, pound * gee / inch ** 2)
   238	
   239	SI.set_quantity_dimension(mmHg, pressure)
   240	SI.set_quantity_scale_factor(mmHg, dHg0 * acceleration_due_to_gravity * kilogram / meter**2)
   241	
   242	SI.set_quantity_dimension(milli_mass_unit, mass)
   243	SI.set_quantity_scale_factor(milli_mass_unit, atomic_mass_unit/1000)
   244	
   245	SI.set_quantity_dimension(quart, length ** 3)
   246	SI.set_quantity_scale_factor(quart, Rational(231, 4) * inch**3)
   247	
   248	# Other convenient units and magnitudes
   249	
   250	SI.set_quantity_dimension(lightyear, length)
   251	SI.set_quantity_scale_factor(lightyear, speed_of_light*julian_year)
   252	
   253	SI.set_quantity_dimension(astronomical_unit, length)
   254	SI.set_quantity_scale_factor(astronomical_unit, 149597870691*meter)
   255	
   256	# Fundamental Planck units:
   257	
   258	SI.set_quantity_dimension(planck_mass, mass)
   259	SI.set_quantity_scale_factor(planck_mass, sqrt(hbar*speed_of_light/G))
   260	
   261	SI.set_quantity_dimension(planck_time, time)
   262	SI.set_quantity_scale_factor(planck_time, sqrt(hbar*G/speed_of_light**5))
   263	
   264	SI.set_quantity_dimension(planck_temperature, temperature)
   265	SI.set_quantity_scale_factor(planck_temperature, sqrt(hbar*speed_of_light**5/G/boltzmann**2))
   266	
   267	SI.set_quantity_dimension(planck_length, length)
   268	SI.set_quantity_scale_factor(planck_length, sqrt(hbar*G/speed_of_light**3))
   269	
   270	SI.set_quantity_dimension(planck_charge, charge)
   271	SI.set_quantity_scale_factor(planck_charge, sqrt(4*pi*electric_constant*hbar*speed_of_light))
   272	
   273	# Derived Planck units:
   274	
   275	SI.set_quantity_dimension(planck_area, length ** 2)
   276	SI.set_quantity_scale_factor(planck_area, planck_length**2)
   277	
   278	SI.set_quantity_dimension(planck_volume, length ** 3)
   279	SI.set_quantity_scale_factor(planck_volume, planck_length**3)
   280	
   281	SI.set_quantity_dimension(planck_momentum, mass * velocity)
   282	SI.set_quantity_scale_factor(planck_momentum, planck_mass * speed_of_light)
   283	
   284	SI.set_quantity_dimension(planck_energy, energy)
   285	SI.set_quantity_scale_factor(planck_energy, planck_mass * speed_of_light**2)
   286	
   287	SI.set_quantity_dimension(planck_force, force)
   288	SI.set_quantity_scale_factor(planck_force, planck_energy / planck_length)
   289	
   290	SI.set_quantity_dimension(planck_power, power)
   291	SI.set_quantity_scale_factor(planck_power, planck_energy / planck_time)
   292	
   293	SI.set_quantity_dimension(planck_density, mass / length ** 3)
   294	SI.set_quantity_scale_factor(planck_density, planck_mass / planck_length**3)
   295	
   296	SI.set_quantity_dimension(planck_energy_density, energy / length ** 3)
   297	SI.set_quantity_scale_factor(planck_energy_density, planck_energy / planck_length**3)
   298	
   299	SI.set_quantity_dimension(planck_intensity, mass * time ** (-3))
   300	SI.set_quantity_scale_factor(planck_intensity, planck_energy_density * speed_of_light)
   301	
   302	SI.set_quantity_dimension(planck_angular_frequency, 1 / time)
   303	SI.set_quantity_scale_factor(planck_angular_frequency, 1 / planck_time)
   304	
   305	SI.set_quantity_dimension(planck_pressure, pressure)
   306	SI.set_quantity_scale_factor(planck_pressure, planck_force / planck_length**2)
   307	
   308	SI.set_quantity_dimension(planck_current, current)
   309	SI.set_quantity_scale_factor(planck_current, planck_charge / planck_time)
   310	
   311	SI.set_quantity_dimension(planck_voltage, voltage)
   312	SI.set_quantity_scale_factor(planck_voltage, planck_energy / planck_charge)
   313	
   314	SI.set_quantity_dimension(planck_impedance, impedance)
   315	SI.set_quantity_scale_factor(planck_impedance, planck_voltage / planck_current)
   316	
   317	SI.set_quantity_dimension(planck_acceleration, acceleration)
   318	SI.set_quantity_scale_factor(planck_acceleration, speed_of_light / planck_time)
   319	
   320	# Older units for radioactivity
   321	
   322	SI.set_quantity_dimension(curie, 1 / time)
   323	SI.set_quantity_scale_factor(curie, 37000000000*becquerel)
   324	
   325	SI.set_quantity_dimension(rutherford, 1 / time)
   326	SI.set_quantity_scale_factor(rutherford, 1000000*becquerel)
   327	
   328	
   329	# check that scale factors are the right SI dimensions:
   330	for _scale_factor, _dimension in zip(
   331	    SI._quantity_scale_factors.values(),
   332	    SI._quantity_dimension_map.values()
   333	):
   334	    dimex = SI.get_dimensional_expr(_scale_factor)
   335	    if dimex != 1:
   336	        # XXX: equivalent_dims is an instance method taking two arguments in
   337	        # addition to self so this can not work:
   338	        if not DimensionSystem.equivalent_dims(_dimension, Dimension(dimex)):  # type: ignore
   339	            raise ValueError("quantity value and dimension mismatch")
   340	del _scale_factor, _dimension
   341	
   342	__all__ = [
   343	    'mmHg', 'atmosphere', 'inductance', 'newton', 'meter',
   344	    'vacuum_permittivity', 'pascal', 'magnetic_constant', 'voltage',
   345	    'angular_mil', 'luminous_intensity', 'all_units',
   346	    'julian_year', 'weber', 'exbibyte', 'liter',
   347	    'molar_gas_constant', 'faraday_constant', 'avogadro_constant',
   348	    'lightyear', 'planck_density', 'gee', 'mol', 'bit', 'gray',
   349	    'planck_momentum', 'bar', 'magnetic_density', 'prefix_unit', 'PREFIXES',
   350	    'planck_time', 'dimex', 'gram', 'candela', 'force', 'planck_intensity',
   351	    'energy', 'becquerel', 'planck_acceleration', 'speed_of_light',
   352	    'conductance', 'frequency', 'coulomb_constant', 'degree', 'lux', 'planck',
   353	    'current', 'planck_current', 'tebibyte', 'planck_power', 'MKSA', 'power',
   354	    'K', 'planck_volume', 'quart', 'pressure', 'amount_of_substance',
   355	    'joule', 'boltzmann_constant', 'Dimension', 'c', 'planck_force', 'length',
   356	    'watt', 'action', 'hbar', 'gibibyte', 'DimensionSystem', 'cd', 'volt',
   357	    'planck_charge', 'dioptre', 'vacuum_impedance', 'dimsys_default', 'farad',
   358	    'charge', 'gravitational_constant', 'temperature', 'u0', 'hertz',
   359	    'capacitance', 'tesla', 'steradian', 'planck_mass', 'josephson_constant',
   360	    'planck_area', 'stefan_boltzmann_constant', 'base_dims',
   361	    'astronomical_unit', 'radian', 'planck_voltage', 'impedance',
   362	    'planck_energy', 'Da', 'atomic_mass_constant', 'rutherford', 'second', 'inch',
   363	    'elementary_charge', 'SI', 'electronvolt', 'dimsys_SI', 'henry',
   364	    'planck_angular_frequency', 'ohm', 'pound', 'planck_pressure', 'G', 'psi',
   365	    'dHg0', 'von_klitzing_constant', 'planck_length', 'avogadro_number',
   366	    'mole', 'acceleration', 'information', 'planck_energy_density',
   367	    'mebibyte', 's', 'acceleration_due_to_gravity',
   368	    'planck_temperature', 'units', 'mass', 'dimsys_MKSA', 'kelvin', 'kPa',
   369	    'boltzmann', 'milli_mass_unit', 'planck_impedance', 'electric_constant',
   370	    'derived_dims', 'kg', 'coulomb', 'siemens', 'byte', 'magnetic_flux',
   371	    'atomic_mass_unit', 'm', 'kibibyte', 'kilogram', 'One', 'curie', 'u',
   372	    'time', 'pebibyte', 'velocity', 'ampere', 'katal',
   373	]
   374	</function_results>

Now let's look at the unitsystem module to understand how `_collect_factor_and_dimension` works:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sympy/physics/units/unitsystem.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sympy/physics/units/unitsystem.py with line numbers:
     1	"""
     2	Unit system for physical quantities; include definition of constants.
     3	"""
     4	
     5	from typing import Dict as tDict, Set as tSet
     6	
     7	from sympy.core.add import Add
     8	from sympy.core.function import (Derivative, Function)
     9	from sympy.core.mul import Mul
    10	from sympy.core.power import Pow
    11	from sympy.core.singleton import S
    12	from sympy.physics.units.dimensions import _QuantityMapper
    13	from sympy.physics.units.quantities import Quantity
    14	
    15	from .dimensions import Dimension
    16	
    17	
    18	class UnitSystem(_QuantityMapper):
    19	    """
    20	    UnitSystem represents a coherent set of units.
    21	
    22	    A unit system is basically a dimension system with notions of scales. Many
    23	    of the methods are defined in the same way.
    24	
    25	    It is much better if all base units have a symbol.
    26	    """
    27	
    28	    _unit_systems = {}  # type: tDict[str, UnitSystem]
    29	
    30	    def __init__(self, base_units, units=(), name="", descr="", dimension_system=None, derived_units: tDict[Dimension, Quantity]={}):
    31	
    32	        UnitSystem._unit_systems[name] = self
    33	
    34	        self.name = name
    35	        self.descr = descr
    36	
    37	        self._base_units = base_units
    38	        self._dimension_system = dimension_system
    39	        self._units = tuple(set(base_units) | set(units))
    40	        self._base_units = tuple(base_units)
    41	        self._derived_units = derived_units
    42	
    43	        super().__init__()
    44	
    45	    def __str__(self):
    46	        """
    47	        Return the name of the system.
    48	
    49	        If it does not exist, then it makes a list of symbols (or names) of
    50	        the base dimensions.
    51	        """
    52	
    53	        if self.name != "":
    54	            return self.name
    55	        else:
    56	            return "UnitSystem((%s))" % ", ".join(
    57	                str(d) for d in self._base_units)
    58	
    59	    def __repr__(self):
    60	        return '<UnitSystem: %s>' % repr(self._base_units)
    61	
    62	    def extend(self, base, units=(), name="", description="", dimension_system=None, derived_units: tDict[Dimension, Quantity]={}):
    63	        """Extend the current system into a new one.
    64	
    65	        Take the base and normal units of the current system to merge
    66	        them to the base and normal units given in argument.
    67	        If not provided, name and description are overridden by empty strings.
    68	        """
    69	
    70	        base = self._base_units + tuple(base)
    71	        units = self._units + tuple(units)
    72	
    73	        return UnitSystem(base, units, name, description, dimension_system, {**self._derived_units, **derived_units})
    74	
    75	    def get_dimension_system(self):
    76	        return self._dimension_system
    77	
    78	    def get_quantity_dimension(self, unit):
    79	        qdm = self.get_dimension_system()._quantity_dimension_map
    80	        if unit in qdm:
    81	            return qdm[unit]
    82	        return super().get_quantity_dimension(unit)
    83	
    84	    def get_quantity_scale_factor(self, unit):
    85	        qsfm = self.get_dimension_system()._quantity_scale_factors
    86	        if unit in qsfm:
    87	            return qsfm[unit]
    88	        return super().get_quantity_scale_factor(unit)
    89	
    90	    @staticmethod
    91	    def get_unit_system(unit_system):
    92	        if isinstance(unit_system, UnitSystem):
    93	            return unit_system
    94	
    95	        if unit_system not in UnitSystem._unit_systems:
    96	            raise ValueError(
    97	                "Unit system is not supported. Currently"
    98	                "supported unit systems are {}".format(
    99	                    ", ".join(sorted(UnitSystem._unit_systems))
   100	                )
   101	            )
   102	
   103	        return UnitSystem._unit_systems[unit_system]
   104	
   105	    @staticmethod
   106	    def get_default_unit_system():
   107	        return UnitSystem._unit_systems["SI"]
   108	
   109	    @property
   110	    def dim(self):
   111	        """
   112	        Give the dimension of the system.
   113	
   114	        That is return the number of units forming the basis.
   115	        """
   116	        return len(self._base_units)
   117	
   118	    @property
   119	    def is_consistent(self):
   120	        """
   121	        Check if the underlying dimension system is consistent.
   122	        """
   123	        # test is performed in DimensionSystem
   124	        return self.get_dimension_system().is_consistent
   125	
   126	    @property
   127	    def derived_units(self) -> tDict[Dimension, Quantity]:
   128	        return self._derived_units
   129	
   130	    def get_dimensional_expr(self, expr):
   131	        from sympy.physics.units import Quantity
   132	        if isinstance(expr, Mul):
   133	            return Mul(*[self.get_dimensional_expr(i) for i in expr.args])
   134	        elif isinstance(expr, Pow):
   135	            return self.get_dimensional_expr(expr.base) ** expr.exp
   136	        elif isinstance(expr, Add):
   137	            return self.get_dimensional_expr(expr.args[0])
   138	        elif isinstance(expr, Derivative):
   139	            dim = self.get_dimensional_expr(expr.expr)
   140	            for independent, count in expr.variable_count:
   141	                dim /= self.get_dimensional_expr(independent)**count
   142	            return dim
   143	        elif isinstance(expr, Function):
   144	            args = [self.get_dimensional_expr(arg) for arg in expr.args]
   145	            if all(i == 1 for i in args):
   146	                return S.One
   147	            return expr.func(*args)
   148	        elif isinstance(expr, Quantity):
   149	            return self.get_quantity_dimension(expr).name
   150	        return S.One
   151	
   152	    def _collect_factor_and_dimension(self, expr):
   153	        """
   154	        Return tuple with scale factor expression and dimension expression.
   155	        """
   156	        from sympy.physics.units import Quantity
   157	        if isinstance(expr, Quantity):
   158	            return expr.scale_factor, expr.dimension
   159	        elif isinstance(expr, Mul):
   160	            factor = 1
   161	            dimension = Dimension(1)
   162	            for arg in expr.args:
   163	                arg_factor, arg_dim = self._collect_factor_and_dimension(arg)
   164	                factor *= arg_factor
   165	                dimension *= arg_dim
   166	            return factor, dimension
   167	        elif isinstance(expr, Pow):
   168	            factor, dim = self._collect_factor_and_dimension(expr.base)
   169	            exp_factor, exp_dim = self._collect_factor_and_dimension(expr.exp)
   170	            if self.get_dimension_system().is_dimensionless(exp_dim):
   171	                exp_dim = 1
   172	            return factor ** exp_factor, dim ** (exp_factor * exp_dim)
   173	        elif isinstance(expr, Add):
   174	            factor, dim = self._collect_factor_and_dimension(expr.args[0])
   175	            for addend in expr.args[1:]:
   176	                addend_factor, addend_dim = \
   177	                    self._collect_factor_and_dimension(addend)
   178	                if dim != addend_dim:
   179	                    raise ValueError(
   180	                        'Dimension of "{}" is {}, '
   181	                        'but it should be {}'.format(
   182	                            addend, addend_dim, dim))
   183	                factor += addend_factor
   184	            return factor, dim
   185	        elif isinstance(expr, Derivative):
   186	            factor, dim = self._collect_factor_and_dimension(expr.args[0])
   187	            for independent, count in expr.variable_count:
   188	                ifactor, idim = self._collect_factor_and_dimension(independent)
   189	                factor /= ifactor**count
   190	                dim /= idim**count
   191	            return factor, dim
   192	        elif isinstance(expr, Function):
   193	            fds = [self._collect_factor_and_dimension(
   194	                arg) for arg in expr.args]
   195	            return (expr.func(*(f[0] for f in fds)),
   196	                    *(d[1] for d in fds))
   197	        elif isinstance(expr, Dimension):
   198	            return S.One, expr
   199	        else:
   200	            return expr, Dimension(1)
   201	
   202	    def get_units_non_prefixed(self) -> tSet[Quantity]:
   203	        """
   204	        Return the units of the system that do not have a prefix.
   205	        """
   206	        return set(filter(lambda u: not u.is_prefixed and not u.is_physical_constant, self._units))
   207	</function_results>

Now let's create a reproduction script to understand the problem better:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/reproduce_issue.py</antml:parameter>
<antml:parameter name="file_text">#!/usr/bin/env python3

from sympy import exp
from sympy.physics import units
from sympy.physics.units.systems.si import SI

print("Testing the issue...")

# First, let's verify that the basic expression is dimensionless
expr = units.second / (units.ohm * units.farad)
print(f"Expression: {expr}")

factor, dim = SI._collect_factor_and_dimension(expr)
print(f"Factor: {factor}")
print(f"Dimension: {dim}")

# Check if it's dimensionless
is_dimensionless = SI.get_dimension_system().is_dimensionless(dim)
print(f"Is dimensionless: {is_dimensionless}")

print("\nTesting with exp()...")
# Now test with exp
