I'll help you implement the necessary changes to fix the Morse encoding for "1" in the SymPy repository. Let's start by exploring the repository structure to understand the codebase.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(crypto|morse)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sympy/crypto/__init__.py
/testbed/sympy/crypto/tests/__init__.py
/testbed/sympy/crypto/tests/test_crypto.py
/testbed/sympy/crypto/crypto.py</function_results>

Great! Let's look at the crypto module structure:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sympy/crypto</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sympy/crypto, excluding hidden items and node_modules:
91K	/testbed/sympy/crypto
   166	    [3, 4, 5, 6, 7, 8, 9, 0, 1, 2]
   167	
   168	    """
   169	    k = k % n
   170	    return list(range(k, n)) + list(range(k))
   171	
   172	
   173	######## shift cipher examples ############
   174	
   175	
   176	def encipher_shift(msg, key, symbols=None):
   177	    """
   178	    Performs shift cipher encryption on plaintext msg, and returns the
   179	    ciphertext.
   180	
   181	    Notes
   182	    =====
   183	
   184	    The shift cipher is also called the Caesar cipher, after
   185	    Julius Caesar, who, according to Suetonius, used it with a
   186	    shift of three to protect messages of military significance.
   187	    Caesar's nephew Augustus reportedly used a similar cipher, but
   188	    with a right shift of 1.
   189	
   190	
   191	    ALGORITHM:
   192	
   193	        INPUT:
   194	
   195	            ``key``: an integer (the secret key)
   196	
   197	            ``msg``: plaintext of upper-case letters
   198	
   199	        OUTPUT:
   200	
   201	            ``ct``: ciphertext of upper-case letters
   202	
   203	        STEPS:
   204	            0. Number the letters of the alphabet from 0, ..., N
   205	            1. Compute from the string ``msg`` a list ``L1`` of
   206	               corresponding integers.
   207	            2. Compute from the list ``L1`` a new list ``L2``, given by
   208	               adding ``(k mod 26)`` to each element in ``L1``.
   209	            3. Compute from the list ``L2`` a string ``ct`` of
   210	               corresponding letters.
   211	
   212	    Examples
   213	    ========
   214	
   215	    >>> from sympy.crypto.crypto import encipher_shift, decipher_shift
   216	    >>> msg = "GONAVYBEATARMY"
   217	    >>> ct = encipher_shift(msg, 1); ct
   218	    'HPOBWZCFBUBSNZ'
   219	
   220	    To decipher the shifted text, change the sign of the key:
   221	
   222	    >>> encipher_shift(ct, -1)
   223	    'GONAVYBEATARMY'
   224	
   225	    There is also a convenience function that does this with the
   226	    original key:
   227	
   228	    >>> decipher_shift(ct, 1)
   229	    'GONAVYBEATARMY'
   230	    """
   231	    msg, _, A = _prep(msg, '', symbols)
   232	    shift = len(A) - key % len(A)
   233	    key = A[shift:] + A[:shift]
   234	    return translate(msg, key, A)
   235	
   236	
   237	def decipher_shift(msg, key, symbols=None):
   238	    """
   239	    Return the text by shifting the characters of ``msg`` to the
   240	    left by the amount given by ``key``.
   241	
   242	    Examples
   243	    ========
   244	
   245	    >>> from sympy.crypto.crypto import encipher_shift, decipher_shift
   246	    >>> msg = "GONAVYBEATARMY"
   247	    >>> ct = encipher_shift(msg, 1); ct
   248	    'HPOBWZCFBUBSNZ'
   249	
   250	    To decipher the shifted text, change the sign of the key:
   251	
   252	    >>> encipher_shift(ct, -1)
   253	    'GONAVYBEATARMY'
   254	
   255	    Or use this function with the original key:
   256	
   257	    >>> decipher_shift(ct, 1)
   258	    'GONAVYBEATARMY'
   259	    """
   260	    return encipher_shift(msg, -key, symbols)
   261	
   262	def encipher_rot13(msg, symbols=None):
   263	    """
   264	    Performs the ROT13 encryption on a given plaintext ``msg``.
   265	
   266	    Notes
   267	    =====
   268	
   269	    ROT13 is a substitution cipher which substitutes each letter
   270	    in the plaintext message for the letter furthest away from it
   271	    in the English alphabet.
   272	
   273	    Equivalently, it is just a Caeser (shift) cipher with a shift
   274	    key of 13 (midway point of the alphabet).
   275	
   276	    See Also
   277	    ========
   278	
   279	    decipher_rot13
   280	    """
   281	    return encipher_shift(msg, 13, symbols)
   282	
   283	def decipher_rot13(msg, symbols=None):
   284	    """
   285	    Performs the ROT13 decryption on a given plaintext ``msg``.
   286	
   287	    Notes
   288	    =====
   289	
   290	    ``decipher_rot13`` is equivalent to ``encipher_rot13`` as both
   291	    ``decipher_shift`` with a key of 13 and ``encipher_shift`` key with a
   292	    key of 13 will return the same results. Nonetheless,
   293	    ``decipher_rot13`` has nonetheless been explicitly defined here for
   294	    consistency.
   295	
   296	    Examples
   297	    ========
   298	
   299	    >>> from sympy.crypto.crypto import encipher_rot13, decipher_rot13
   300	    >>> msg = 'GONAVYBEATARMY'
   301	    >>> ciphertext = encipher_rot13(msg);ciphertext
   302	    'TBANILORNGNEZL'
   303	    >>> decipher_rot13(ciphertext)
   304	    'GONAVYBEATARMY'
   305	    >>> encipher_rot13(msg) == decipher_rot13(msg)
   306	    True
   307	    >>> msg == decipher_rot13(ciphertext)
   308	    True
   309	    """
   310	    return decipher_shift(msg, 13, symbols)
   311	
   312	######## affine cipher examples ############
   313	
   314	
   315	def encipher_affine(msg, key, symbols=None, _inverse=False):
   316	    r"""
	< truncated lines 317-2213 >
  2214	        (quadratic residue) modulo p * q
  2215	        such that jacobi_symbol(a, p * q) = 1
  2216	     if b_k = 1:
  2217	        let a_k be a random non-square
  2218	        (non-quadratic residue) modulo p * q
  2219	        such that jacobi_symbol(a, p * q) = 1
  2220	
  2221	    return [a_1, a_2,...]
  2222	
  2223	    b_k can be recovered by checking whether or not
  2224	    a_k is a residue. And from the b_k's, the message
  2225	    can be reconstructed.
  2226	
  2227	    The idea is that, while jacobi_symbol(a, p * q)
  2228	    can be easily computed (and when it is equal to -1 will
  2229	    tell you that a is not a square mod p * q), quadratic
  2230	    residuosity modulo a composite number is hard to compute
  2231	    without knowing its factorization.
  2232	
  2233	    Moreover, approximately half the numbers coprime to p * q have
  2234	    jacobi_symbol equal to 1. And among those, approximately half
  2235	    are residues and approximately half are not. This maximizes the
  2236	    entropy of the code.
  2237	
  2238	    Parameters
  2239	    ==========
  2240	
  2241	    p, q, a : initialization variables
  2242	
  2243	    Returns
  2244	    =======
  2245	
  2246	    p, q : the input value p and q
  2247	
  2248	    Raises
  2249	    ======
  2250	
  2251	    ValueError : if p and q are not distinct odd primes
  2252	
  2253	    """
  2254	    if p == q:
  2255	        raise ValueError("expected distinct primes, "
  2256	                         "got two copies of %i" % p)
  2257	    elif not isprime(p) or not isprime(q):
  2258	        raise ValueError("first two arguments must be prime, "
  2259	                         "got %i of %i" % (p, q))
  2260	    elif p == 2 or q == 2:
  2261	        raise ValueError("first two arguments must not be even, "
  2262	                         "got %i of %i" % (p, q))
  2263	    return p, q
  2264	
  2265	
  2266	def gm_public_key(p, q, a=None, seed=None):
  2267	    """
  2268	    Compute public keys for p and q.
  2269	    Note that in Goldwasser-Micali Encrpytion,
  2270	    public keys are randomly selected.
  2271	
  2272	    Parameters
  2273	    ==========
  2274	
  2275	    p, q, a : (int) initialization variables
  2276	
  2277	    Returns
  2278	    =======
  2279	
  2280	    (a, N) : tuple[int]
  2281	        a is the input a if it is not None otherwise
  2282	        some random integer coprime to p and q.
  2283	
  2284	        N is the product of p and q
  2285	    """
  2286	
  2287	    p, q = gm_private_key(p, q)
  2288	    N = p * q
  2289	
  2290	    if a is None:
  2291	        randrange = _randrange(seed)
  2292	        while True:
  2293	            a = randrange(N)
  2294	            if _legendre(a, p) == _legendre(a, q) == -1:
  2295	                break
  2296	    else:
  2297	        if _legendre(a, p) != -1 or _legendre(a, q) != -1:
  2298	            return False
  2299	    return (a, N)
  2300	
  2301	
  2302	def encipher_gm(i, key, seed=None):
  2303	    """
  2304	    Encrypt integer 'i' using public_key 'key'
  2305	    Note that gm uses random encrpytion.
  2306	
  2307	    Parameters
  2308	    ==========
  2309	
  2310	    i: (int) the message to encrypt
  2311	    key: Tuple (a, N) the public key
  2312	
  2313	    Returns
  2314	    =======
  2315	
  2316	    List[int] the randomized encrpyted message.
  2317	
  2318	    """
  2319	    if i < 0:
  2320	        raise ValueError(
  2321	            "message must be a non-negative "
  2322	            "integer: got %d instead" % i)
  2323	    a, N = key
  2324	    bits = []
  2325	    while i > 0:
  2326	        bits.append(i % 2)
  2327	        i //= 2
  2328	
  2329	    gen = _random_coprime_stream(N, seed)
  2330	    rev = reversed(bits)
  2331	    encode = lambda b: next(gen)**2*pow(a, b) % N
  2332	    return [ encode(b) for b in rev ]
  2333	
  2334	
  2335	
  2336	def decipher_gm(message, key):
  2337	    """
  2338	    Decrypt message 'message' using public_key 'key'.
  2339	
  2340	    Parameters
  2341	    ==========
  2342	
  2343	    List[int]: the randomized encrpyted message.
  2344	    key: Tuple (p, q) the private key
  2345	
  2346	    Returns
  2347	    =======
  2348	
  2349	    i (int) the encrpyted message
  2350	    """
  2351	    p, q = key
  2352	    res = lambda m, p: _legendre(m, p) > 0
  2353	    bits = [res(m, p) * res(m, q) for m in message]
  2354	    m = 0
  2355	    for b in bits:
  2356	        m <<= 1
  2357	        m += not b
  2358	    return m
  2359	
  2360	################ Blum–Goldwasser cryptosystem  #########################
  2361	
  2362	def bg_private_key(p, q):
  2363	    """
  2364	    Check if p and q can be used as private keys for
  2365	    the Blum–Goldwasser cryptosystem.
  2366	
  2367	    The three necessary checks for p and q to pass
  2368	    so that they can be used as private keys:
  2369	
  2370	        1. p and q must both be prime
  2371	        2. p and q must be distinct
  2372	        3. p and q must be congruent to 3 mod 4
  2373	
  2374	    Parameters
  2375	    ==========
  2376	
  2377	    p, q : the keys to be checked
  2378	
  2379	    Returns
  2380	    =======
  2381	
  2382	    p, q : input values
  2383	
  2384	    Raises
  2385	    ======
  2386	
  2387	    ValueError : if p and q do not pass the above conditions
  2388	
  2389	    """
  2390	
  2391	    if not isprime(p) or not isprime(q):
  2392	        raise ValueError("the two arguments must be prime, "
  2393	                         "got %i and %i" %(p, q))
  2394	    elif p == q:
  2395	        raise ValueError("the two arguments must be distinct, "
  2396	                         "got two copies of %i. " %p)
  2397	    elif (p - 3) % 4 != 0 or (q - 3) % 4 != 0:
  2398	        raise ValueError("the two arguments must be congruent to 3 mod 4, "
  2399	                         "got %i and %i" %(p, q))
  2400	    return p, q
  2401	
  2402	def bg_public_key(p, q):
  2403	    """
  2404	    Calculates public keys from private keys.
  2405	
  2406	    The function first checks the validity of
  2407	    private keys passed as arguments and
  2408	    then returns their product.
  2409	
  2410	    Parameters
  2411	    ==========
  2412	
  2413	    p, q : the private keys
  2414	
  2415	    Returns
  2416	    =======
  2417	
  2418	    N : the public key
  2419	    """
  2420	    p, q = bg_private_key(p, q)
  2421	    N = p * q
  2422	    return N
  2423	
  2424	def encipher_bg(i, key, seed=None):
  2425	    """
  2426	    Encrypts the message using public key and seed.
  2427	
  2428	    ALGORITHM:
  2429	        1. Encodes i as a string of L bits, m.
  2430	        2. Select a random element r, where 1 < r < key, and computes
  2431	           x = r^2 mod key.
  2432	        3. Use BBS pseudo-random number generator to generate L random bits, b,
  2433	        using the initial seed as x.
  2434	        4. Encrypted message, c_i = m_i XOR b_i, 1 <= i <= L.
  2435	        5. x_L = x^(2^L) mod key.
  2436	        6. Return (c, x_L)
  2437	
  2438	    Parameters
  2439	    ==========
  2440	
  2441	    i : message, a non-negative integer
  2442	    key : the public key
  2443	
  2444	    Returns
  2445	    =======
  2446	
  2447	    (encrypted_message, x_L) : Tuple
  2448	
  2449	    Raises
  2450	    ======
  2451	
  2452	    ValueError : if i is negative
  2453	    """
  2454	
  2455	    if i < 0:
  2456	        raise ValueError(
  2457	            "message must be a non-negative "
  2458	            "integer: got %d instead" % i)
  2459	
  2460	    enc_msg = []
  2461	    while i > 0:
  2462	        enc_msg.append(i % 2)
  2463	        i //= 2
  2464	    enc_msg.reverse()
  2465	    L = len(enc_msg)
  2466	
  2467	    r = _randint(seed)(2, key - 1)
  2468	    x = r**2 % key
  2469	    x_L = pow(int(x), int(2**L), int(key))
  2470	
  2471	    rand_bits = []
  2472	    for k in range(L):
  2473	        rand_bits.append(x % 2)
  2474	        x = x**2 % key
  2475	
  2476	    encrypt_msg = [m ^ b for (m, b) in zip(enc_msg, rand_bits)]
  2477	
  2478	    return (encrypt_msg, x_L)
  2479	
  2480	def decipher_bg(message, key):
  2481	    """
  2482	    Decrypts the message using private keys.
  2483	
  2484	    ALGORITHM:
  2485	        1. Let, c be the encrypted message, y the second number received,
  2486	        and p and q be the private keys.
  2487	        2. Compute, r_p = y^((p+1)/4 ^ L) mod p and
  2488	        r_q = y^((q+1)/4 ^ L) mod q.
  2489	        3. Compute x_0 = (q(q^-1 mod p)r_p + p(p^-1 mod q)r_q) mod N.
  2490	        4. From, recompute the bits using the BBS generator, as in the
  2491	        encryption algorithm.
  2492	        5. Compute original message by XORing c and b.
  2493	
  2494	    Parameters
  2495	    ==========
  2496	
  2497	    message : Tuple of encrypted message and a non-negative integer.
  2498	    key : Tuple of private keys
  2499	
  2500	    Returns
  2501	    =======
  2502	
  2503	    orig_msg : The original message
  2504	    """
  2505	
  2506	    p, q = key
  2507	    encrypt_msg, y = message
  2508	    public_key = p * q
  2509	    L = len(encrypt_msg)
  2510	    p_t = ((p + 1)/4)**L
  2511	    q_t = ((q + 1)/4)**L
  2512	    r_p = pow(int(y), int(p_t), int(p))
  2513	    r_q = pow(int(y), int(q_t), int(q))
  2514	
  2515	    x = (q * mod_inverse(q, p) * r_p + p * mod_inverse(p, q) * r_q) % public_key
  2516	
  2517	    orig_bits = []
  2518	    for k in range(L):
  2519	        orig_bits.append(x % 2)
  2520	        x = x**2 % public_key
  2521	
  2522	    orig_msg = 0
  2523	    for (m, b) in zip(encrypt_msg, orig_bits):
  2524	        orig_msg = orig_msg * 2
  2525	        orig_msg += (m ^ b)
  2526	
  2527	    return orig_msg
  2528	</function_results>

The file is quite long. Let me search for Morse code related content:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -n -i "morse\|----\|\.----" /testbed/sympy/crypto/crypto.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>1507:#################### Morse Code ######################################
1509:morse_char = {
1523:    "-----": "0", "----": "1",
1527:    "---..": "8", "----.": "9",
1532:    "-.--.-": ")", ".----.": "'",
1536:char_morse = {v: k for k, v in morse_char.items()}
1539:def encode_morse(msg, sep='|', mapping=None):
1541:    Encodes a plaintext into popular Morse Code with letters
1547:    .. [1] https://en.wikipedia.org/wiki/Morse_code
1552:    >>> from sympy.crypto.crypto import encode_morse
1554:    >>> encode_morse(msg)
1559:    mapping = mapping or char_morse
1572:    morsestring = []
1575:        morseword = []
1577:            morseletter = mapping[letter]
1578:            morseword.append(morseletter)
1580:        word = sep.join(morseword)
1581:        morsestring.append(word)
1583:    return word_sep.join(morsestring) + (word_sep if suffix else '')
1586:def decode_morse(msg, sep='|', mapping=None):
1588:    Decodes a Morse Code with letters separated by `sep`
1595:    .. [1] https://en.wikipedia.org/wiki/Morse_code
1600:    >>> from sympy.crypto.crypto import decode_morse
1602:    >>> decode_morse(mc)
1607:    mapping = mapping or morse_char</function_results>

Perfect! I found the issue. Let me look at the specific lines around the Morse code mapping:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sympy/crypto/crypto.py</antml:parameter>
<antml:parameter name="view_range">[1507, 1540]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sympy/crypto/crypto.py with line numbers (which has a total of 2528 lines) with view_range=[1507, 1540]:
  1507	#################### Morse Code ######################################
  1508	
  1509	morse_char = {
  1510	    ".-": "A", "-...": "B",
  1511	    "-.-.": "C", "-..": "D",
  1512	    ".": "E", "..-.": "F",
  1513	    "--.": "G", "....": "H",
  1514	    "..": "I", ".---": "J",
  1515	    "-.-": "K", ".-..": "L",
  1516	    "--": "M", "-.": "N",
  1517	    "---": "O", ".--.": "P",
  1518	    "--.-": "Q", ".-.": "R",
  1519	    "...": "S", "-": "T",
  1520	    "..-": "U", "...-": "V",
  1521	    ".--": "W", "-..-": "X",
  1522	    "-.--": "Y", "--..": "Z",
  1523	    "-----": "0", "----": "1",
  1524	    "..---": "2", "...--": "3",
  1525	    "....-": "4", ".....": "5",
  1526	    "-....": "6", "--...": "7",
  1527	    "---..": "8", "----.": "9",
  1528	    ".-.-.-": ".", "--..--": ",",
  1529	    "---...": ":", "-.-.-.": ";",
  1530	    "..--..": "?", "-....-": "-",
  1531	    "..--.-": "_", "-.--.": "(",
  1532	    "-.--.-": ")", ".----.": "'",
  1533	    "-...-": "=", ".-.-.": "+",
  1534	    "-..-.": "/", ".--.-.": "@",
  1535	    "...-..-": "$", "-.-.--": "!"}
  1536	char_morse = {v: k for k, v in morse_char.items()}
  1537	
  1538	
  1539	def encode_morse(msg, sep='|', mapping=None):
  1540	    """
</function_results>

Found it! The issue is on line 1523. The current mapping shows `"----": "1"` but according to the problem statement, it should be `".----": "1"`. Let me also check the tests to understand the expected behavior:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sympy/crypto/tests/test_crypto.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sympy/crypto/tests/test_crypto.py with line numbers:
     1	from sympy.core import symbols
     2	from sympy.core.compatibility import range
     3	from sympy.crypto.crypto import (cycle_list,
     4	      encipher_shift, encipher_affine, encipher_substitution,
     5	      check_and_join, encipher_vigenere, decipher_vigenere,
     6	      encipher_hill, decipher_hill, encipher_bifid5, encipher_bifid6,
     7	      bifid5_square, bifid6_square, bifid5, bifid6, bifid10,
     8	      decipher_bifid5, decipher_bifid6, encipher_kid_rsa,
     9	      decipher_kid_rsa, kid_rsa_private_key, kid_rsa_public_key,
    10	      decipher_rsa, rsa_private_key, rsa_public_key, encipher_rsa,
    11	      lfsr_connection_polynomial, lfsr_autocorrelation, lfsr_sequence,
    12	      encode_morse, decode_morse, elgamal_private_key, elgamal_public_key,
    13	      encipher_elgamal, decipher_elgamal, dh_private_key, dh_public_key,
    14	      dh_shared_key, decipher_shift, decipher_affine, encipher_bifid,
    15	      decipher_bifid, bifid_square, padded_key, uniq, decipher_gm,
    16	      encipher_gm, gm_public_key, gm_private_key, encipher_bg, decipher_bg,
    17	      bg_private_key, bg_public_key, encipher_rot13, decipher_rot13,
    18	      encipher_atbash, decipher_atbash)
    19	from sympy.matrices import Matrix
    20	from sympy.ntheory import isprime, is_primitive_root
    21	from sympy.polys.domains import FF
    22	
    23	from sympy.utilities.pytest import raises, slow, warns_deprecated_sympy
    24	
    25	from random import randrange
    26	
    27	
    28	def test_cycle_list():
    29	    assert cycle_list(3, 4) == [3, 0, 1, 2]
    30	    assert cycle_list(-1, 4) == [3, 0, 1, 2]
    31	    assert cycle_list(1, 4) == [1, 2, 3, 0]
    32	
    33	
    34	def test_encipher_shift():
    35	    assert encipher_shift("ABC", 0) == "ABC"
    36	    assert encipher_shift("ABC", 1) == "BCD"
    37	    assert encipher_shift("ABC", -1) == "ZAB"
    38	    assert decipher_shift("ZAB", -1) == "ABC"
    39	
    40	def test_encipher_rot13():
    41	    assert encipher_rot13("ABC") == "NOP"
    42	    assert encipher_rot13("NOP") == "ABC"
    43	    assert decipher_rot13("ABC") == "NOP"
    44	    assert decipher_rot13("NOP") == "ABC"
    45	
    46	
    47	def test_encipher_affine():
    48	    assert encipher_affine("ABC", (1, 0)) == "ABC"
    49	    assert encipher_affine("ABC", (1, 1)) == "BCD"
    50	    assert encipher_affine("ABC", (-1, 0)) == "AZY"
    51	    assert encipher_affine("ABC", (-1, 1), symbols="ABCD") == "BAD"
    52	    assert encipher_affine("123", (-1, 1), symbols="1234") == "214"
    53	    assert encipher_affine("ABC", (3, 16)) == "QTW"
    54	    assert decipher_affine("QTW", (3, 16)) == "ABC"
    55	
    56	def test_encipher_atbash():
    57	    assert encipher_atbash("ABC") == "ZYX"
    58	    assert encipher_atbash("ZYX") == "ABC"
    59	    assert decipher_atbash("ABC") == "ZYX"
    60	    assert decipher_atbash("ZYX") == "ABC"
    61	
    62	def test_encipher_substitution():
    63	    assert encipher_substitution("ABC", "BAC", "ABC") == "BAC"
    64	    assert encipher_substitution("123", "1243", "1234") == "124"
    65	
    66	
    67	def test_check_and_join():
    68	    assert check_and_join("abc") == "abc"
    69	    assert check_and_join(uniq("aaabc")) == "abc"
    70	    assert check_and_join("ab c".split()) == "abc"
    71	    assert check_and_join("abc", "a", filter=True) == "a"
    72	    raises(ValueError, lambda: check_and_join('ab', 'a'))
    73	
    74	
    75	def test_encipher_vigenere():
    76	    assert encipher_vigenere("ABC", "ABC") == "ACE"
    77	    assert encipher_vigenere("ABC", "ABC", symbols="ABCD") == "ACA"
    78	    assert encipher_vigenere("ABC", "AB", symbols="ABCD") == "ACC"
    79	    assert encipher_vigenere("AB", "ABC", symbols="ABCD") == "AC"
    80	    assert encipher_vigenere("A", "ABC", symbols="ABCD") == "A"
    81	
    82	
    83	def test_decipher_vigenere():
    84	    assert decipher_vigenere("ABC", "ABC") == "AAA"
    85	    assert decipher_vigenere("ABC", "ABC", symbols="ABCD") == "AAA"
    86	    assert decipher_vigenere("ABC", "AB", symbols="ABCD") == "AAC"
